Time (ms), Time (us), Altitude (m), Pressure (Pa), Temperature (degC), Packet Error
484988, 484988963, -8.16, 101423.0, 36.16, 0
485696, 485696908, -7.91, 101420.0, 36.16, 0
486966, 486966955, -8.07, 101422.0, 36.17, 0
487679, 487679901, -7.99, 101421.0, 36.17, 0
488472, 488472952, -8.07, 101422.0, 36.17, 0
489178, 489178901, -7.99, 101421.0, 36.17, 0
491183, 491183908, -7.99, 101421.0, 36.17, 0
491813, 491813909, -7.99, 101421.0, 36.17, 0
493818, 493818903, -8.16, 101423.0, 36.18, 0
494228, 494228204, -7.99, 101421.0, 36.17, 0
496991, 496991963, -8.16, 101423.0, 36.18, 0
497943, 497943055, -8.16, 101423.0, 36.18, 0
498490, 498490952, -7.91, 101420.0, 36.19, 0
499513, 499513954, -8.07, 101422.0, 36.19, 0
500867, 500867908, -8.07, 101422.0, 36.19, 0
503105, 503105963, -7.91, 101420.0, 36.19, 0
504534, 504534967, -8.07, 101422.0, 36.2, 0
505971, 505971065, -8.24, 101424.0, 36.2, 0
508365, 508365924, -7.99, 101421.0, 36.2, 0
509566, 509566962, -8.32, 101425.0, 36.2, 0
510372, 510372910, -7.99, 101421.0, 36.2, 0
512581, 512581954, -7.99, 101421.0, 36.2, 0
513849, 513849904, -8.07, 101422.0, 36.21, 0
515125, 515125958, -8.07, 101422.0, 36.21, 0
516073, 516073959, -8.16, 101423.0, 36.22, 0
518788, 518788907, -8.07, 101422.0, 36.22, 0
520792, 520792901, -7.91, 101420.0, 36.23, 0
521581, 521581963, -8.24, 101424.0, 36.23, 0
522847, 522847901, -7.99, 101421.0, 36.24, 0
523805, 523805907, -7.99, 101421.0, 36.24, 0
524438, 524438907, -8.16, 101423.0, 36.24, 0
525798, 525798907, -8.07, 101422.0, 36.24, 0
526346, 526346924, -8.16, 101423.0, 36.24, 0
526501, 526501043, -8.07, 101422.0, 36.25, 0
527429, 527429907, -8.24, 101424.0, 36.24, 0
528791, 528791900, -7.91, 101420.0, 36.24, 0
529337, 529337918, -8.07, 101422.0, 36.25, 0
531970, 531970871, -8.16, 101423.0, 36.24, 0
536869, 536869903, -8.07, 101422.0, 36.25, 0
537819, 537819903, -8.07, 101422.0, 36.26, 0
538369, 538369918, -8.07, 101422.0, 36.26, 0
539973, 539973901, -7.91, 101420.0, 36.26, 0
541173, 541173961, -8.16, 101423.0, 36.26, 0
541883, 541883901, -7.99, 101421.0, 36.26, 0
542515, 542515902, -7.91, 101420.0, 36.26, 0
542799, 542799954, -8.07, 101422.0, 36.2, 0
548360, 548360924, -7.99, 101421.0, 36.27, 0
549785, 549785956, -8.07, 101422.0, 36.24, 0
2327, 2327897, -7.99, 101421.0, 35.22, 0
3284, 3284865, -7.99, 101421.0, 35.22, 0
4632, 4632950, -7.91, 101420.0, 35.23, 0
6796, 6796899, -7.99, 101421.0, 35.25, 0
8235, 8235881, -7.91, 101420.0, 35.27, 0
8676, 8676920, -8.07, 101422.0, 35.24, 0
10844, 10844899, -8.24, 101424.0, 35.29, 0
12357, 12357899, -8.24, 101424.0, 35.3, 0
15809, 15809897, -8.24, 101424.0, 35.33, 0
16679, 16679947, -8.16, 101423.0, 35.34, 0
17872, 17872901, -8.16, 101423.0, 35.35, 0
18826, 18826888, -7.99, 101421.0, 35.36, 0
19458, 19458901, -7.99, 101421.0, 35.37, 0
20823, 20823900, -7.99, 101421.0, 35.38, 0
21612, 21612961, -8.07, 101422.0, 35.39, 0
22961, 22961901, -8.07, 101422.0, 35.4, 0
24620, 24620948, -8.07, 101422.0, 35.36, 0
25414, 25414899, -8.16, 101423.0, 35.41, 0
26366, 26366899, -7.99, 101421.0, 35.42, 0
27001, 27001891, -7.99, 101421.0, 35.43, 0
28840, 28840901, -8.16, 101423.0, 35.44, 0
29709, 29709957, -8.16, 101423.0, 35.45, 0
31874, 31874897, -8.32, 101425.0, 35.47, 0
33949, 33949898, -8.16, 101423.0, 35.49, 0
35774, 35774954, -7.99, 101421.0, 35.5, 0
36892, 36892900, -8.16, 101423.0, 35.51, 0
38725, 38725954, -8.24, 101424.0, 35.53, 0
39991, 39991900, -8.24, 101424.0, 35.54, 0
40560, 40560992, -8.32, 101425.0, 35.54, 0
40952, 40952954, -8.16, 101423.0, 35.5, 0
43923, 43923901, -7.99, 101421.0, 35.57, 0
44555, 44555900, -8.07, 101422.0, 35.57, 0
45998, 45998900, -8.41, 101426.0, 35.59, 0
47509, 47509900, -8.07, 101422.0, 35.6, 0
49680, 49680978, -8.32, 101425.0, 35.62, 0
4820, 4820045, -7.99, 101421.0, 33.64, 0
6094, 6094866, -8.07, 101422.0, 33.66, 0
6577, 6577910, -7.99, 101421.0, 33.67, 0
8237, 8237889, -7.99, 101421.0, 33.71, 0
9359, 9359950, -8.16, 101423.0, 33.73, 0
9746, 9746897, -7.99, 101421.0, 33.74, 0
11425, 11425947, -8.24, 101424.0, 33.78, 0
12136, 12136890, -8.16, 101423.0, 33.79, 0
15369, 15369977, -8.32, 101425.0, 33.85, 0
17204, 17204864, -8.16, 101423.0, 33.89, 0
17918, 17918953, -8.07, 101422.0, 33.91, 0
19272, 19272871, -8.32, 101425.0, 33.94, 0
20948, 20948916, -8.32, 101425.0, 33.98, 0
22219, 22219866, -8.24, 101424.0, 34.0, 0
22627, 22627914, -8.32, 101425.0, 34.0, 0
24921, 24921953, -8.16, 101423.0, 34.05, 0
25631, 25631917, -8.16, 101423.0, 34.07, 0
