Time (ms), accX, accY, accZ, gyroX, gyroY, gyroZ, tempC, Packet Error
670114, -9.64, -0.1, -0.1, -0.23, -0.23, -0.23, 29.65, 0
0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
670459, -9.69, -0.1, -0.1, -0.18, -0.18, -0.18, 29.7, 0
670648, -9.61, -0.1, -0.1, -0.16, -0.16, -0.16, 29.61, 0
670864, -9.6, -0.1, -0.1, -0.13, -0.13, -0.13, 29.56, 0
671059, -9.58, -0.1, -0.1, -0.16, -0.16, -0.16, 29.65, 0
0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
671404, -9.67, -0.1, -0.1, -0.11, -0.11, -0.11, 29.65, 0
671595, -9.6, -0.1, -0.1, -0.21, -0.21, -0.21, 29.65, 0
671790, -9.69, -0.1, -0.1, -0.16, -0.16, -0.16, 29.7, 0
0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
672135, -9.6, -0.1, -0.1, -0.15, -0.15, -0.15, 29.75, 0
672324, -9.67, -0.1, -0.1, -0.16, -0.16, -0.16, 29.56, 0
672540, -9.61, -0.1, -0.1, -0.2, -0.2, -0.2, 29.56, 0
672735, -9.61, -0.1, -0.1, -0.02, -0.02, -0.02, 29.7, 0
0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
673080, -9.63, -0.1, -0.1, -0.12, -0.12, -0.12, 29.61, 0
673269, -9.71, -0.1, -0.1, -0.11, -0.11, -0.11, 29.7, 0
673485, -9.62, -0.1, -0.1, -0.09, -0.09, -0.09, 29.65, 0
673677, -9.66, -0.1, -0.1, -0.05, -0.05, -0.05, 29.65, 0
0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
674022, -9.67, -0.1, -0.1, -0.12, -0.12, -0.12, 29.7, 0
674211, -9.61, -0.1, -0.1, -0.09, -0.09, -0.09, 29.7, 0
674427, -9.63, -0.1, -0.1, -0.03, -0.03, -0.03, 29.61, 0
674560, -9.65, -0.1, -0.1, -0.01, -0.01, -0.01, 29.65, 0
674761, -9.67, -0.1, -0.1, -0.04, -0.04, -0.04, 29.75, 0
674950, -9.64, -0.1, -0.1, -0.01, -0.01, -0.01, 29.65, 0
675145, -9.69, -0.1, -0.1, -0.03, -0.03, -0.03, 29.65, 0
0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
675490, -9.62, -0.1, -0.1, -0.08, -0.08, -0.08, 29.61, 0
675681, -9.62, -0.1, -0.1, -0.16, -0.16, -0.16, 29.7, 0
675897, -9.67, -0.1, -0.1, -0.12, -0.12, -0.12, 29.65, 0
676092, -9.65, -0.1, -0.1, -0.18, -0.18, -0.18, 29.65, 0
0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
676437, -9.64, -0.1, -0.1, -0.09, -0.09, -0.09, 29.65, 0
676626, -9.61, -0.1, -0.1, -0.11, -0.11, -0.11, 29.65, 0
676842, -9.6, -0.1, -0.1, -0.17, -0.17, -0.17, 29.61, 0
677037, -9.63, -0.1, -0.1, -0.06, -0.06, -0.06, 29.61, 0
0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
677382, -9.59, -0.1, -0.1, -0.21, -0.21, -0.21, 29.65, 0
677572, -9.67, -0.1, -0.1, -0.11, -0.11, -0.11, 29.65, 0
677789, -9.66, -0.1, -0.1, -0.11, -0.11, -0.11, 29.7, 0
677984, -9.67, -0.1, -0.1, -0.12, -0.12, -0.12, 29.61, 0
0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
678329, -9.59, -0.1, -0.1, -0.01, -0.01, -0.01, 29.7, 0
678520, -9.65, -0.1, -0.1, -0.14, -0.14, -0.14, 29.61, 0
678736, -9.68, -0.1, -0.1, -0.11, -0.11, -0.11, 29.65, 0
678931, -9.68, -0.1, -0.1, -0.18, -0.18, -0.18, 29.56, 0
0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
679276, -9.58, -0.1, -0.1, -0.15, -0.15, -0.15, 29.7, 0
679465, -9.6, -0.1, -0.1, -0.18, -0.18, -0.18, 29.7, 0
679683, -9.65, -0.1, -0.1, -0.1, -0.1, -0.1, 29.65, 0
679879, -9.6, -0.1, -0.1, -0.11, -0.11, -0.11, 29.65, 0
0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
680224, -9.59, -0.1, -0.1, -0.02, -0.02, -0.02, 29.65, 0
680413, -9.65, -0.1, -0.1, -0.18, -0.18, -0.18, 29.61, 0
680624, -9.66, -0.1, -0.1, -0.13, -0.13, -0.13, 29.61, 0
680825, -9.64, -0.1, -0.1, -0.13, -0.13, -0.13, 29.7, 0
0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
681170, -9.59, -0.1, -0.1, -0.12, -0.12, -0.12, 29.65, 0
681359, -9.65, -0.1, -0.1, -0.21, -0.21, -0.21, 29.65, 0
681571, -9.56, -0.1, -0.1, -0.08, -0.08, -0.08, 29.61, 0
681772, -9.6, -0.1, -0.1, -0.17, -0.17, -0.17, 29.65, 0
0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
682117, -9.62, -0.1, -0.1, -0.17, -0.17, -0.17, 29.61, 0
682306, -9.64, -0.1, -0.1, -0.17, -0.17, -0.17, 29.56, 0
682522, -9.65, -0.1, -0.1, -0.12, -0.12, -0.12, 29.65, 0
682717, -9.65, -0.1, -0.1, -0.04, -0.04, -0.04, 29.56, 0
0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
683062, -9.68, -0.1, -0.1, -0.11, -0.11, -0.11, 29.51, 0
683251, -9.68, -0.1, -0.1, -0.08, -0.08, -0.08, 29.61, 0
683467, -9.58, -0.1, -0.1, -0.12, -0.12, -0.12, 29.56, 0
683664, -9.6, -0.1, -0.1, -0.18, -0.18, -0.18, 29.56, 0
0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
684008, -9.63, -0.1, -0.1, -0.16, -0.16, -0.16, 29.65, 0
684197, -9.6, -0.1, -0.1, -0.14, -0.14, -0.14, 29.51, 0
684413, -9.64, -0.1, -0.1, -0.13, -0.13, -0.13, 29.61, 0
684603, -9.59, -0.1, -0.1, -0.04, -0.04, -0.04, 29.61, 0
684826, -9.67, -0.1, -0.1, -0.07, -0.07, -0.07, 29.65, 0
685021, -9.68, -0.1, -0.1, -0.08, -0.08, -0.08, 29.65, 0
0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
685366, -9.62, -0.1, -0.1, -0.08, -0.08, -0.08, 29.61, 0
685554, -9.63, -0.1, -0.1, -0.08, -0.08, -0.08, 29.56, 0
685770, -9.62, -0.1, -0.1, -0.14, -0.14, -0.14, 29.7, 0
685965, -9.67, -0.1, -0.1, -0.07, -0.07, -0.07, 29.56, 0
0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
686310, -9.64, -0.1, -0.1, -0.11, -0.11, -0.11, 29.65, 0
