Time (ms), Time (us), Altitude (m), Pressure (Pa), Temperature (degC), Packet Error
46029, 46029190, -59.85, 102046.0, 22.32, 0
47855, 47855869, -59.85, 102046.0, 22.44, 0
49384, 49384523, -59.44, 102041.0, 22.53, 0
50576, 50577535, -59.77, 102045.0, 22.6, 0
51104, 51104333, -59.77, 102045.0, 22.61, 0
52540, 52540896, -59.61, 102043.0, 22.72, 0
53652, 53652900, -59.61, 102043.0, 22.78, 0
54602, 54602555, -59.77, 102045.0, 22.84, 0
55949, 55949862, -59.61, 102043.0, 22.92, 0
56825, 56825869, -59.69, 102044.0, 22.97, 0
58016, 58016867, -59.52, 102042.0, 23.04, 0
58885, 58885899, -59.77, 102045.0, 23.09, 0
60071, 60071483, -59.52, 102042.0, 23.16, 0
61189, 61189903, -59.69, 102044.0, 23.22, 0
62064, 62064448, -59.77, 102045.0, 23.26, 0
62694, 62694899, -59.77, 102045.0, 23.3, 0
64445, 64445872, -59.85, 102046.0, 23.39, 0
65237, 65237904, -59.61, 102043.0, 23.44, 0
66106, 66106934, -59.52, 102042.0, 23.48, 0
67058, 67058461, -59.61, 102043.0, 23.53, 0
67849, 67849900, -59.61, 102043.0, 23.58, 0
67927, 67927869, -59.61, 102043.0, 23.58, 0
69972, 69972896, -59.69, 102044.0, 23.68, 0
71324, 71324901, -59.52, 102042.0, 23.75, 0
72833, 72833872, -59.61, 102043.0, 23.83, 0
73706, 73706901, -59.52, 102042.0, 23.87, 0
74340, 74340848, -59.52, 102042.0, 23.91, 0
75379, 75379898, -59.61, 102043.0, 23.95, 0
76014, 76014863, -59.69, 102044.0, 23.99, 0
76879, 76879905, -59.69, 102044.0, 24.03, 0
78391, 78391898, -59.52, 102042.0, 24.1, 0
79740, 79740903, -59.61, 102043.0, 24.16, 0
81172, 81172918, -59.52, 102042.0, 24.23, 0
82998, 82998901, -59.52, 102042.0, 24.32, 0
84505, 84505101, -59.44, 102041.0, 24.39, 0
85301, 85301899, -59.61, 102043.0, 24.42, 0
85733, 85733098, -59.52, 102042.0, 24.39, 0
87579, 87579907, -59.36, 102040.0, 24.52, 0
89907, 89907901, -59.44, 102041.0, 24.63, 0
91415, 91415902, -59.52, 102042.0, 24.7, 0
93499, 93499903, -59.44, 102041.0, 24.79, 0
93762, 93762904, -59.36, 102040.0, 24.79, 0
94157, 94157873, -59.44, 102041.0, 24.81, 0
96390, 96390902, -59.36, 102040.0, 24.91, 0
97824, 97824899, -59.36, 102040.0, 24.97, 0
99499, 99499872, -59.27, 102039.0, 25.04, 0
101586, 101586900, -59.36, 102040.0, 25.13, 0
104814, 104814902, -59.27, 102039.0, 25.26, 0
121975, 121975909, -59.11, 102037.0, 25.88, 0
132982, 132982905, -59.11, 102037.0, 26.25, 0
138366, 138366890, -59.03, 102036.0, 26.41, 0
154982, 154982901, -58.94, 102035.0, 26.9, 0
159999, 159999913, -59.03, 102036.0, 27.04, 0
166074, 166074463, -58.86, 102034.0, 27.2, 0
