Time (ms), Time (us), Altitude (m), Pressure (Pa), Temperature (degC), Packet Error
60063, 60063877, -7.91, 101420.0, 35.54, 0
60063, 60063877, -7.91, 101420.0, 35.54, 0
61865, 61865011, -7.82, 101419.0, 35.55, 0
62885, 62885922, -7.91, 101420.0, 35.55, 0
64287, 64287085, -7.74, 101418.0, 35.54, 0
65153, 65153907, -7.91, 101420.0, 35.55, 0
65773, 65773513, -7.82, 101419.0, 35.56, 0
66633, 66633908, -7.91, 101420.0, 35.56, 0
67184, 67184907, -7.57, 101416.0, 35.56, 0
67890, 67890934, -7.99, 101421.0, 35.56, 0
68351, 68351086, -7.82, 101419.0, 35.56, 0
69210, 69210912, -7.82, 101419.0, 35.56, 0
69677, 69677912, -7.82, 101419.0, 35.56, 0
70296, 70296992, -7.66, 101417.0, 35.57, 0
71159, 71159913, -7.82, 101419.0, 35.57, 0
71864, 71864105, -7.739803314208984, 98346.0, 35.56999969482422, 1
72326, 72326079, -7.66, 101417.0, 35.57, 0
73189, 73189913, -7.74, 101418.0, 35.57, 0
73653, 73653913, -7.82, 101419.0, 35.58, 0
74122, 74122911, -7.82, 101419.0, 35.58, 0
74824, 74824109, -7.91, 101420.0, 35.58, 0
75453, 75453913, -7.99, 101421.0, 35.58, 0
76161, 76161911, -7.91, 101420.0, 35.58, 0
76861, 76861102, -7.91, 101420.0, 35.58, 0
77247, 77247907, -8.07, 101422.0, 35.59, 0
77870, 77870103, -7.74, 101418.0, 35.59, 0
78809, 78809710, -7.82, 101419.0, 35.59, 0
79434, 79434915, -7.82, 101419.0, 35.59, 0
80060, 80060914, -7.74, 101418.0, 35.59, 0
80527, 80527866, -7.99, 101421.0, 35.59, 0
80681, 80681897, -7.82, 101419.0, 35.59, 0
80994, 80994530, -7.82, 101419.0, 35.49, 0
81318, 81318907, -7.91, 101420.0, 35.55, 0
82174, 82174913, -7.82, 101419.0, 35.59, 0
82642, 82642910, -7.74, 101418.0, 35.59, 0
83106, 83106907, -7.91, 101420.0, 35.59, 0
83804, 83804268, -8.07, 101422.0, 35.59, 0
0, 2684354560, 0.0, 0.0, 0.0, 1
84431, 84431053, -7.82, 101419.0, 35.59, 0
84898, 84898094, -7.82, 101419.0, 35.6, 0
85765, 85765511, -7.91, 101420.0, 35.59, 0
86231, 86231908, -7.74, 101418.0, 35.6, 0
0, 2684354560, -0.0, 0.0, -0.0, 1
86845, 86845926, -7.74, 101418.0, 35.6, 0
87707, 87707907, -7.91, 101420.0, 35.6, 0
88330, 88330914, -7.91, 101420.0, 35.61, 0
90155, 90155879, -7.66, 101417.0, 35.6, 0
91022, 91022912, -7.82, 101419.0, 35.6, 0
91489, 91489912, -7.91, 101420.0, 35.61, 0
91717, 91717908, -7.74, 101418.0, 35.61, 0
92497, 92497914, -7.91, 101420.0, 35.61, 0
93436, 93436084, -7.91, 101420.0, 35.61, 0
93904, 93904082, -7.91, 101420.0, 35.61, 0
94365, 94365907, -7.74, 101418.0, 35.62, 0
0, 589824, 0.0, 0.0, -0.0, 1
0, 589824, 0.0, 0.0, 0.0, 1
95797, 95797512, -7.82, 101419.0, 35.62, 0
96263, 96263909, -7.82, 101419.0, 35.62, 0
96726, 96726278, -7.74, 101418.0, 35.62, 0
97426, 97426079, -7.91, 101420.0, 35.62, 0
98280, 98280908, -7.82, 101419.0, 35.62, 0
98362, 98362908, -7.82, 101419.0, 35.62, 0
98768, 98768518, -7.82, 101419.0, 35.54, 0
99233, 99233911, -7.91, 101420.0, 35.6, 0
99701, 99701907, -7.822995662689209, 101419.0, 34.119998931884766, 1
100400, 100400912, -7.82, 101419.0, 35.63, 0
100865, 100865928, -7.82, 101419.0, 35.63, 0
0, 3145728, 8.816207631167156e-39, 0.0, -0.0, 1
101969, 101969084, -8.24, 101424.0, 35.63, 0
102832, 102832925, -7.82, 101419.0, 35.63, 0
103450, 103450084, -7.66, 101417.0, 35.64, 0
104316, 104316911, -7.91, 101420.0, 35.64, 0
104778, 104778511, -7.91, 101420.0, 35.64, 0
105401, 105401912, -7.82, 101419.0, 35.65, 0
106027, 106027915, -7.82, 101419.0, 35.65, 0
106882, 106882930, -7.99, 101421.0, 35.65, 0
107984, 107984082, -7.82, 101419.0, 35.65, 0
108452, 108452076, -7.74, 101418.0, 35.65, 0
109385, 109385912, -7.74, 101418.0, 35.66, 0
110010, 110010083, -7.91, 101420.0, 35.66, 0
110479, 110479078, -7.66, 101417.0, 35.66, 0
110946, 110946046, -7.82, 101419.0, 35.66, 0
111496, 111496084, -7.57, 101416.0, 35.66, 0
112124, 112124910, -7.99, 101421.0, 35.66, 0
113298, 113298911, -7.99, 101421.0, 35.67, 0
114009, 114009086, -7.74, 101418.0, 35.67, 0
114473, 114473084, -7.66, 101417.0, 35.67, 0
115333, 115333911, -7.82, 101419.0, 35.67, 0
115797, 115797513, -7.99, 101421.0, 35.67, 0
116203, 116203912, -7.82, 101419.0, 35.67, 0
116615, 116615917, -7.57, 101416.0, 35.59, 0
117083, 117083916, -7.74, 101418.0, 35.65, 0
118017, 118017082, -7.57, 101416.0, 35.67, 0
118878, 118878923, -7.99, 101421.0, 35.68, 0
119500, 119500078, -7.91, 101420.0, 35.68, 0
120122, 120122915, -7.74, 101418.0, 35.68, 0
120982, 120982040, -7.74, 101418.0, 35.68, 0
121843, 121843929, -7.66, 101417.0, 35.68, 0
122465, 122465911, -7.91, 101420.0, 35.69, 0
123401, 123401907, -7.74, 101418.0, 35.69, 0
123867, 123867926, -8.07, 101422.0, 35.69, 0
124490, 124490001, -7.82, 101419.0, 35.69, 0
125351, 125351911, -7.82, 101419.0, 35.69, 0
126054, 126054084, -7.74, 101418.0, 35.7, 0
126919, 126919913, -7.74, 101418.0, 35.7, 0
127383, 127383911, -7.82, 101419.0, 35.7, 0
127853, 127853932, -7.99, 101421.0, 35.7, 0
128555, 128555084, -8115772.0, 101418.0, 35.70000076293945, 1
129019, 129019074, -7.91, 101420.0, 35.69, 0
129649, 129649877, -7.82, 101419.0, 35.67, 0
2174, 2174022, -7.57, 101416.0, 34.61, 0
3539, 3539905, -7.49, 101415.0, 34.63, 0
5477, 5477876, -7.66, 101417.0, 34.64, 0
6512, 6512912, -7.66, 101417.0, 34.65, 0
