Time (ms), accX, accY, accZ, gyroX, gyroY, gyroZ, tempC, Packet Error
0, 0, 0, 0, 0, 0, 0, 0, 1
0, 0, 0, 0, 0, 0, 0, 0, 1
0, 0, 0, 0, 0, 0, 0, 0, 1
0, 0, 0, 0, 0, 0, 0, 0, 1
0, 0, 0, 0, 0, 0, 0, 0, 1
0, 0, 0, 0, 0, 0, 0, 0, 1
0, 0, 0, 0, 0, 0, 0, 0, 1
0, 0, 0, 0, 0, 0, 0, 0, 1
0, 0, 0, 0, 0, 0, 0, 0, 1
0, 0, 0, 0, 0, 0, 0, 0, 1
0, 0, 0, 0, 0, 0, 0, 0, 1
0, 0, 0, 0, 0, 0, 0, 0, 1
0, 0, 0, 0, 0, 0, 0, 0, 1
0, 0, 0, 0, 0, 0, 0, 0, 1
2903, 2903590, -1082, 2, -758, -6, -1, 3, 1
0, 0, 0, 0, 0, 0, 0, 0, 1
3335, 3335590, -1089, 2, -754, -5, -1, -6, 1
3551, 3551590, -1082, -2, -765, -5, -1, -7, 1
3764, 3764590, -1090, 4, -759, -5, -1, -18, 1
3982, 3982591, -1089, -1, -761, -6, -1, -16, 1
4198, 4198590, -1092, 0, -769, -6, -1, -19, 1
0, 0, 0, 0, 0, 0, 0, 0, 1
4742, 4742589, -1088, 10, -766, -6, 0, -15, 1
0, 0, 0, 0, 0, 0, 0, 0, 1
5179, 5179591, -1088, -9, -777, -5, -1, -15, 1
0, 0, 0, 0, 0, 0, 0, 0, 1
5613, 5613589, -1093, 6, -756, -5, -2, -19, 1
0, 0, 0, 0, 0, 0, 0, 0, 1
6047, 6047590, -1088, 5, -763, -5, -1, -22, 1
6338, 6338588, -1091, 1, -758, -5, -1, -17, 1
6480, 6480591, -1088, 2, -765, -5, 0, -13, 1
6696, 6696589, -1082, -5, -768, -5, -2, -16, 1
6910, 6910589, -1091, 5, -766, -5, -1, -9, 1
7127, 7127589, -1091, -4, -764, -5, -1, -21, 1
4227858429, -1, -218103809, 1862270975, -1895825396, 83353363, 7557, -1047239455, 1
7741, 7741587, -1090, -1, -757, -6, -2, -14, 1
0, 0, 0, 0, 0, 0, 0, 0, 1
8104, 8104590, -1089, 2, -763, -6, -1, -15, 1
8396, 8396587, -1092, 0, -759, -5, -1, -13, 1
0, 0, 0, 0, 0, 0, 0, 0, 1
8825, 8825587, -1090, 6, -759, -5, -1, -28, 1
0, 0, 0, 0, 0, 0, 0, 0, 1
9186, 9186589, -1087, -4, -762, -6, -1, -23, 1
0, 0, 0, 0, 0, 0, 0, 0, 1
9805, 9805588, -1088, 3, -770, -6, -1, -15, 1
9945, 9945589, -1086, 2, -761, -5, -2, -19, 1
10146, 10146587, -1083, 0, -768, -6, -1, -17, 1
10349, 10349587, -1084, 1, -768, -5, -2, -18, 1
10487, 10487589, -1087, -4, -769, -5, -1, -14, 1
10772, 10772587, -1085, 10, -761, -5, -1, -24, 1
10912, 10912590, -1082, 4, -764, -5, -2, -17, 1
11131, 11131590, -1089, -2, -761, -6, -1, -2, 1
0, 0, 0, 0, 0, 0, 0, 0, 1
11752, 11752588, -1086, 2, -764, -6, -1, -13, 1
0, 0, 0, 0, 0, 0, 0, 0, 1
12116, 12116589, -1087, -1, -767, -5, -2, -5, 1
12328, 12328590, -1086, 2, -765, -6, -1, -19, 1
12529, 12529587, -1087, 0, -764, -5, -1, -26, 1
12729, 12729587, -1091, 0, -759, -6, -1, -22, 1
0, 0, 0, 0, 0, 0, 0, 0, 1
13090, 13090590, -1092, -2, -764, -6, -1, -12, 1
13383, 13383587, -1081, 1, -760, -5, -1, -9, 1
0, 0, 0, 0, 0, 0, 0, 0, 1
13740, 13740590, -1088, 0, -758, -6, -2, -22, 1
14036, 14036587, -1087, 0, -772, -5, -1, -19, 1
14174, 14174589, -1085, 2, -774, -6, -2, -21, 1
14375, 14375588, -1085, 0, -766, -5, -2, -20, 1
14578, 14578588, -1091, 2, -763, -6, -1, -1, 1
14716, 14716589, -1085, -1, -765, -6, -1, -21, 1
14922, 14922587, -1084, 0, -767, -6, -1, -24, 1
15122, 15122587, -1080, 3, -760, -6, -1, -18, 1
0, 0, 0, 0, 0, 0, 0, 0, 1
15479, 15479589, -1082, 3, -760, -6, -1, -13, 1
15695, 15695589, -1083, -5, -769, -5, -1, -14, 1
15897, 15897588, -1082, 5, -768, -6, -1, -20, 1
16100, 16100588, -1082, 2, -764, -6, -1, -24, 1
16238, 16238589, -1091, -2, -761, -6, -1, -9, 1
16439, 16439587, -1086, 0, -767, -6, -1, -25, 1
16641, 16641587, -1087, 3, -760, -6, -2, -16, 1
16783, 16783589, -1086, -3, -771, -5, -1, -14, 1
16999, 16999590, -1088, 7, -772, -6, -1, -14, 1
17213, 17213589, -1096, 2, -759, -5, -1, -14, 1
17429, 17429591, -1091, 4, -762, -5, -1, -17, 1
17643, 17643589, -1083, 1, -761, -5, -1, -23, 1
17858, 17858591, -1086, 4, -766, -5, -1, -25, 1
0, 0, 0, 0, 0, 0, 0, 0, 1
18407, 18407590, -1092, -5, -762, -5, 0, -17, 1
18621, 18621592, -1089, 0, -767, -6, -2, -17, 1
18827, 18827588, -1088, 5, -764, -5, -2, -30, 1
19026, 19026587, -1085, -7, -763, -5, -1, -26, 1
0, 0, 0, 0, 0, 0, 0, 0, 1
19383, 19383590, -1082, 2, -761, -5, -1, -25, 1
19599, 19599590, -1089, 2, -760, -5, -2, -26, 1
19817, 19817590, -1092, -3, -766, -5, 0, -18, 1
0, 0, 0, 0, 0, 0, 0, 0, 1
20437, 20437588, -1081, 0, -767, -6, -1, -14, 1
0, 0, 0, 0, 0, 0, 0, 0, 1
20791, 20791892, -1090, -1, -775, -5, 0, -18, 1
21090, 21090588, -1080, 5, -765, -6, -1, -28, 1
0, 0, 0, 0, 0, 0, 0, 0, 1
21447, 21447588, -1084, -1, -762, -5, -1, -17, 1
21664, 21664589, -1085, 1, -759, -5, -1, -12, 1
0, 0, 0, 0, 0, 0, 0, 0, 1
22208, 22208590, -1085, -1, -770, -5, -2, -27, 1
22426, 22426590, -1090, -8, -765, -5, -1, -15, 1
22641, 22641590, -1085, 3, -745, -6, -5, -19, 1
0, 0, 0, 0, 0, 0, 0, 0, 1
23187, 23187589, -1084, -7, -746, -5, 0, -21, 1
23404, 23404589, -1090, 14, -787, -5, -1, -19, 1
23604, 23604587, -1084, -22, -762, -5, -5, -28, 1
23801, 23801415, -1087, -4, -750, -5, 0, -15, 1
23946, 23946590, -1087, -12, -773, -5, -4, -25, 1
24152, 24152588, -1091, 0, -759, -6, 0, -25, 1
24353, 24353588, -1090, 9, -770, -5, -2, -19, 1
24495, 24495588, -1089, -9, -775, -5, -1, -14, 1
24711, 24711589, -1088, -4, -755, -6, 0, -12, 1
24921, 24921590, -1084, 4, -778, -6, -2, -27, 1
25136, 25136589, -1087, 2, -754, -6, -1, -17, 1
25352, 25352589, -1091, -6, -768, -6, -2, -25, 1
25560, 25560587, -1085, 8, -764, -6, -2, -11, 1
25759, 25759587, -1085, -3, -767, -5, -1, -18, 1
0, 0, 0, 0, 0, 0, 0, 0, 1
26119, 26119590, -1088, 0, -767, -5, -1, -26, 1
26335, 26335590, -1085, 1, -773, -6, -1, -23, 1
26551, 26551591, -1088, 3, -760, -5, -1, -25, 1
26765, 26765590, -1086, 0, -759, -5, -1, -21, 1
26970, 26970588, -1086, 7, -755, -6, -2, -27, 1
27171, 27171588, -1083, 2, -763, -6, 0, -19, 1
27313, 27313589, -1083, -1, -757, -5, -1, -20, 1
27525, 27525589, -1085, 0, -776, -5, -2, -23, 1
27743, 27743589, -1085, 13, -763, -6, 0, -11, 1
27949, 27949587, -1075, -12, -783, -6, 0, -5, 1
0, 0, 0, 0, 0, 0, 0, 0, 1
28504, 28504591, -1082, -20, -759, -5, -3, -29, 1
0, 0, 0, 0, 0, 0, 0, 0, 1
29128, 29128588, -1089, 1, -755, -5, 0, -23, 1
29266, 29266589, -1089, 9, -759, -5, -2, -17, 1
29467, 29467587, -1085, -4, -764, -5, -2, -21, 1
29666, 29666587, -1087, -3, -758, -5, -2, -27, 1
0, 0, 0, 0, 0, 0, 0, 0, 1
30214, 30214588, -1082, -4, -771, -5, 0, -21, 1
0, 0, 0, 0, 0, 0, 0, 0, 1
30682, 30682590, -1086, 22, -761, -5, 2, -11, 1
0, 0, 0, 0, 0, 0, 0, 0, 1
31119, 31119590, -1088, 3, -802, -5, -3, -25, 1
31533, 31533588, -1082, 12, -756, -5, 0, -26, 1
31732, 31732588, -1091, 16, -767, -5, -2, -20, 1
0, 0, 0, 0, 0, 0, 0, 0, 1
32207, 32207590, -1087, 11, -755, -6, 3, -20, 1
32421, 32421589, -1087, 2, -773, -5, -4, -17, 1
32622, 32622588, -1086, -6, -765, -5, -2, -14, 1
32820, 32820588, -1087, 0, -772, -5, -2, -17, 1
32966, 32966589, -1088, 5, -762, -5, 1, -21, 1
33182, 33182589, -1088, 3, -759, -5, -5, -14, 1
33396, 33396589, -1093, 3, -750, -5, 2, -8, 1
33686, 33686588, -1084, -1, -771, -6, 0, -10, 1
0, 0, 0, 0, 0, 0, 0, 0, 1
34157, 34157589, -1095, -3, -760, -5, -1, -19, 1
3674529911, -1392508795, -2134797382, 1715979861, 423758438, 96339793, 34375, 34375589, 1
34592, 34592590, -1083, 2, -767, -5, -1, -19, 1
0, 0, 0, 0, 0, 0, 0, 0, 1
35026, 35026591, -1086, 4, -768, -5, -1, -23, 1
0, 0, 0, 0, 0, 0, 0, 0, 1
35458, 35458590, -1085, 1, -762, -5, -2, -25, 1
0, 0, 0, 0, 0, 0, 0, 0, 1
35892, 35892590, -1088, 2, -777, -5, -1, -23, 1
36109, 36109590, -1080, -11, -764, -5, 0, -23, 1
0, 0, 0, 0, 0, 0, 0, 0, 1
36542, 36542590, -1092, -25, -788, -5, 0, -20, 1
36757, 36757590, -1085, 5, -780, -5, -6, -19, 1
36969, 36969590, -1084, 9, -750, -6, -1, -19, 1
37187, 37187591, -1087, 1, -756, -5, -1, -26, 1
37396, 37396588, -1091, 9, -758, -6, -2, -18, 1
37520, 37520591, -1077, 7, -763, -5, -2, -21, 1
0, 0, 0, 0, 0, 0, 0, 0, 1
38070, 38070590, -1082, -11, -770, -5, -1, -24, 1
38284, 38284591, -1081, 11, -748, -5, -3, -24, 1
38486, 38486588, -1090, 3, -759, -5, -1, -21, 1
38685, 38685588, -1084, -7, -761, -5, -2, -21, 1
0, 0, 0, 0, 0, 0, 0, 0, 1
39045, 39045589, -1093, -11, -770, -5, 0, -28, 1
39338, 39338588, -1085, -7, -770, -5, 0, -23, 1
0, 0, 0, 0, 0, 0, 0, 0, 1
39694, 39694589, -1097, -2, -761, -5, -1, -16, 1
39988, 39988588, -1082, -3, -768, -6, -1, -19, 1
0, 0, 0, 0, 0, 0, 0, 0, 1
40347, 40347589, -1091, -6, -763, -5, -1, -18, 1
0, 0, 0, 0, 0, 0, 0, 0, 1
40779, 40779589, -1090, 0, -768, -5, 0, -26, 1
41076, 41076588, -1088, -12, -779, -5, -3, -23, 1
0, 0, 0, 0, 0, 0, 0, 0, 1
41433, 41433589, -1081, -1, -766, -5, -1, -17, 1
41649, 41649589, -1088, 0, -751, -5, -3, -19, 1
41864, 41864589, -1086, 10, -757, -5, -2, -22, 1
42080, 42080588, -1091, 13, -759, -5, 0, -23, 1
42368, 42368588, -1086, 3, -770, -5, -1, -24, 1
42506, 42506588, -1081, -7, -763, -5, -1, -18, 1
42710, 42710587, -1086, 4, -759, -5, -1, -15, 1
42911, 42911587, -1088, -4, -756, -5, -1, -22, 1
43053, 43053590, -1091, -2, -760, -6, -1, -15, 1
43269, 43269589, -1090, 2, -763, -6, -2, -25, 1
43483, 43483590, -1087, 9, -766, -6, 0, -20, 1
43699, 43699589, -1090, 0, -774, -5, -1, -25, 1
44113, 44113588, -1086, -8, -765, -5, 0, -27, 1
44314, 44314588, -1084, 3, -765, -5, -2, -22, 1
44670, 44670589, -1096, -22, -802, -5, -14, -21, 1
0, 0, 0, 0, 0, 0, 0, 0, 1
45213, 45213591, -1070, 101, -917, -3, 4, -22, 1
45213, 45213591, -1070, 101, -917, -3, 4, -22, 1
45762, 45762586, -1074, -122, -716, -5, -5, -19, 1
45957, 45957587, -1087, -23, -772, -5, -1, -21, 1
46180, 46180586, -1084, -2, -762, -5, -1, -21, 1
46371, 46371587, -1089, 1, -763, -5, -1, -21, 1
46577, 46577587, -1088, 0, -760, -5, -2, -29, 1
46799, 46799812, -1089, 3, -762, -5, -1, -16, 1
46990, 46990587, -1091, 0, -764, -6, -1, -14, 1
47196, 47196587, -1091, 0, -758, -5, -1, -25, 1
47419, 47419586, -1089, -4, -755, -6, -1, -24, 1
47610, 47610587, -1089, -1, -767, -5, -1, -25, 1
47811, 47811587, -1085, 0, -761, -5, -1, -29, 1
48045, 48045586, -1082, -3, -758, -5, -1, -22, 1
48236, 48236587, -1090, 2, -770, -5, -1, -9, 1
48442, 48442587, -1083, -1, -755, -6, -2, -26, 1
48665, 48665586, -1086, 0, -755, -5, -2, -22, 1
48859, 48859588, -1084, -6, -767, -6, -1, -24, 1
49082, 49082586, -1090, 1, -764, -5, -2, -15, 1
49273, 49273587, -1084, -3, -762, -6, -1, -18, 1
49479, 49479587, -1084, 2, -755, -5, -2, -27, 1
49702, 49702586, -1085, -9, -765, -5, -1, -16, 1
49895, 49895587, -1088, 0, -760, -6, -2, -18, 1
50118, 50118586, -1087, 2, -775, -5, 1, -14, 1
50309, 50309587, -1092, -9, -779, -6, -1, -20, 1
50515, 50515586, -1085, 3, -750, -5, -2, -21, 1
50738, 50738585, -1086, 7, -767, -5, -2, -24, 1
50929, 50929586, -1087, 2, -758, -5, -2, -24, 1
51135, 51135586, -1098, 41, -722, -34, -6, -12, 1
51358, 51358585, -1126, -43, -938, 85, 13, -4, 1
51549, 51549586, -1099, -29, -809, -7, 14, -1, 1
0, 0, 0, 0, 0, 0, 0, 0, 1
0, 0, 0, 0, 0, 0, 0, 0, 1
0, 0, 0, 0, 0, 0, 0, 0, 1
0, 0, 0, 0, 0, 0, 0, 0, 1
0, 0, 0, 0, 0, 0, 0, 0, 1
0, 0, 0, 0, 0, 0, 0, 0, 1
0, 0, 0, 0, 0, 0, 0, 0, 1
1438, 1438597, -1089, 7, -757, -5, -1, 3, 1
1648, 1648588, -1081, -2, -755, -6, -1, 1, 1
1757, 1757591, -1089, 5, -756, -5, -1, -14, 1
1969, 1969592, -1091, -4, -762, -6, -2, -18, 1
2271, 2271591, -1084, 2, -751, -5, -2, -27, 1
2398, 2398592, -1082, 0, -751, -5, -1, -29, 1
2696, 2696591, -1087, -3, -748, -6, -2, -23, 1
2820, 2820591, -1088, -4, -756, -6, -1, -25, 1
3120, 3120591, -1089, -5, -754, -5, -1, -19, 1
3244, 3244591, -1092, -1, -756, -5, -1, -30, 1
3545, 3545591, -1088, 0, -753, -5, -1, -30, 1
3670, 3670592, -1086, -8, -760, -6, -1, -27, 1
3885, 3885593, -1081, 3, -756, -6, -2, -26, 1
4093, 4093592, -1088, -4, -752, -6, -1, -28, 1
4395, 4395591, -1075, 82, -713, -5, -6, -29, 1
4522, 4522591, -1104, -21, -774, -7, 30, -25, 1
4820, 4820591, -1001, 119, -1133, 91, -58, -25, 1
4839, 4839591, -1075, 212, -1052, 124, -117, -25, 1
5214, 5214591, -949, -531, -63, 30, 82, -28, 1
5327, 5327595, -1009, 120, -1205, -27, -49, -28, 1
5565, 5565591, -1012, 156, -1078, -11, -16, -30, 1
5864, 5864591, -1006, 106, -1103, 27, -52, -23, 1
5990, 5990591, -1061, -15, -601, -15, -53, -25, 1
6290, 6290591, -1220, -96, -139, 1, -156, -31, 1
6414, 6414591, -1069, -58, -592, 15, -67, -31, 1
6715, 6715591, -1029, -163, -379, -23, 80, -25, 1
0, 0, 0, 0, 0, 0, 0, 0, 1
7139, 7139591, -1059, 84, -953, -4, 15, -23, 1
7269, 7269595, -1039, 100, -999, 18, -87, -30, 1
7565, 7565593, -1035, -100, -462, 0, -38, -31, 1
1944836, -1838791680, -967540543, -241591737, 973022785, 503842162, 1368326144, -67764107, 1
7902, 7902594, -1057, -54, -685, -5, 174, -21, 1
2053636, -1827636992, -967507775, -238907577, 1310134593, 531760514, -778108928, -68878213, 1
8416, 8416591, -1337, -146, -626, 96, -192, -26, 1
8539, 8539591, -1063, -102, -609, -8, -93, -32, 1
8838, 8838625, -1047, -61, -566, -2, 122, -23, 1
8966, 8966591, -1056, 75, -686, -9, 149, -25, 1
9266, 9266591, -1036, 83, -1052, 7, -82, -31, 1
9690, 9690593, -1017, -152, -411, -4, 23, -26, 1
9813, 9813591, -1003, -144, -402, -3, 138, -23, 1
10030, 10030592, -1023, 91, -1085, -118, 108, -23, 1
10248, 10248595, -1013, 112, -1056, 35, -121, -26, 1
0, 0, 0, 0, 0, 0, 0, 0, 1
10888, 10888591, -1222, 165, -998, -26, 184, -16, 1
0, 0, 0, 0, 0, 0, 0, 0, 1
11351, 11351591, -1117, 0, -824, 86, -224, -27, 1
11576, 11576591, -1056, -128, -535, -6, -49, -31, 1
0, 0, 0, 0, 0, 0, 0, 0, 1
12128, 12128591, -1044, 91, -1009, -6, 51, -21, 1
0, 0, 0, 0, 0, 0, 0, 0, 1
12680, 12680591, -1043, -144, -460, -6, -47, -30, 1
0, 0, 0, 0, 0, 0, 0, 0, 1
13227, 13227591, -1057, 70, -987, 0, 40, -24, 1
13449, 13449591, -1033, 116, -980, 13, -104, -35, 1
13675, 13675591, -1061, -122, -616, -9, -84, -34, 1
0, 0, 0, 0, 0, 0, 0, 0, 1
14224, 14224588, -1051, 125, -888, -58, 116, -22, 1
14426, 14426593, -1044, 148, -1005, -5, -25, -23, 1
0, 0, 0, 0, 0, 0, 0, 0, 1
14888, 14888594, -1056, -125, -529, -5, 3, -26, 1
15104, 15104595, -1064, -19, -761, -3, 99, -20, 1
15332, 15332591, -1007, 148, -1150, -5, 47, -23, 1
15547, 15547591, -1015, 120, -1030, 21, -144, -25, 1
0, 0, 0, 0, 0, 0, 0, 0, 1
16099, 16099591, -1030, -96, -540, -82, 145, -20, 1
0, 0, 0, 0, 0, 0, 0, 0, 1
16651, 16651592, -1022, 115, -956, 42, -143, -34, 1
0, 0, 0, 0, 0, 0, 0, 0, 1
17203, 17203595, -1016, -53, -528, -85, 160, -16, 1
17428, 17428591, -1025, 145, -1078, -13, 66, -25, 1
0, 0, 0, 0, 0, 0, 0, 0, 1
17980, 17980593, -1035, -137, -438, -2, -28, -28, 1
18197, 18197591, -1204, -20, -789, -13, 167, -21, 1
0, 0, 0, 0, 0, 0, 0, 0, 1
18749, 18749592, -1046, -87, -578, -6, -97, -35, 1
0, 0, 0, 0, 0, 0, 0, 0, 1
19301, 19301595, -1034, 150, -1020, 0, 67, -26, 1
19526, 19526595, -1035, 100, -976, 15, -108, -32, 1
0, 0, 0, 0, 0, 0, 0, 0, 1
20078, 20078591, -1042, -51, -555, -13, 140, -20, 1
0, 0, 0, 0, 0, 0, 0, 0, 1
20633, 20633591, -1122, -30, -579, -12, -117, -36, 1
0, 0, 0, 0, 0, 0, 0, 0, 1
21182, 21182591, -1001, -95, -450, -1, 188, -22, 1
21401, 21401591, -1030, 90, -1114, -10, 86, -14, 1
0, 0, 0, 0, 0, 0, 0, 0, 1
21952, 21952591, -1038, -66, -501, -4, -62, -32, 1
0, 0, 0, 0, 0, 0, 0, 0, 1
22503, 22503594, -1039, 69, -1050, -5, -35, -31, 1
22728, 22728591, -1054, -83, -616, -59, -119, -38, 1
22836, 22836885, -1036, -149, -494, -9, -84, -29, 1
0, 0, 0, 0, 0, 0, 0, 0, 1
23584, 23584593, -1048, 67, -886, 24, -138, -29, 1
0, 0, 0, 0, 0, 0, 0, 0, 1
24044, 24044591, -1049, -80, -625, -70, 118, -21, 1
0, 0, 0, 0, 0, 0, 0, 0, 1
24595, 24595591, -1050, -61, -591, -10, -105, -30, 1
24817, 24817592, -1039, -213, -484, -8, 4, -26, 1
0, 0, 0, 0, 0, 0, 0, 0, 1
25368, 25368592, -1014, -177, -1075, 71, -40, -43, 1
25593, 25593592, -941, -585, -835, -80, -95, -36, 1
0, 0, 0, 0, 0, 0, 0, 0, 1
26141, 26141592, -965, 534, -996, 5, 154, -29, 1
0, 0, 0, 0, 0, 0, 0, 0, 1
26693, 26693591, -991, 2, -532, -78, 121, -6, 1
0, 0, 0, 0, 0, 0, 0, 0, 1
27244, 27244592, -1086, -19, -788, -5, 4, -30, 1
27467, 27467591, -1091, -3, -751, -5, 0, -28, 1
27690, 27690591, -1080, -22, -748, -6, -1, -28, 1
0, 0, 0, 0, 0, 0, 0, 0, 1
28242, 28242588, -1086, 0, -739, -6, 0, -26, 1
28443, 28443591, -1088, -5, -753, -5, -1, -25, 1
0, 0, 0, 0, 0, 0, 0, 0, 1
28902, 28902594, -1089, 2, -749, -6, -1, -27, 1
29121, 29121595, -1083, -2, -744, -6, -2, -28, 1
29343, 29343591, -1085, -8, -757, -5, -1, -27, 1
29567, 29567592, -1083, -2, -747, -5, -1, -28, 1
0, 0, 0, 0, 0, 0, 0, 0, 1
30116, 30116591, -1085, -7, -750, -5, -2, -26, 1
0, 0, 0, 0, 0, 0, 0, 0, 1
30668, 30668591, -1083, -6, -754, -5, -1, -29, 1
0, 0, 0, 0, 0, 0, 0, 0, 1
31220, 31220591, -1081, 0, -747, -5, -2, -26, 1
31445, 31445595, -1084, -6, -755, -6, -1, -29, 1
0, 0, 0, 0, 0, 0, 0, 0, 1
31994, 31994591, -1087, 1, -752, -6, -1, -21, 1
0, 0, 0, 0, 0, 0, 0, 0, 1
32545, 32545591, -1089, -3, -749, -5, -1, -28, 1
