Time (ms), Altitude (m), Pressure (Pa), Temperature (degC), Packet Error
15195, -6.41, 101402.0, 30.98, 0
16986, -6.49, 101403.0, 31.0, 0
17214, -6.49, 101403.0, 31.01, 0
17548, -6.49, 101403.0, 31.01, 0
17886, -6.49, 101403.0, 31.02, 0
18224, -6.66, 101405.0, 31.02, 0
18777, -6.49, 101403.0, 31.03, 0
19116, -6.24, 101400.0, 31.03, 0
20114, -6.49, 101403.0, 31.05, 0
20452, -6.49, 101403.0, 31.05, 0
20792, -6.33, 101401.0, 31.06, 0
21022, -6.58, 101404.0, 31.06, 0
21238, -6.41, 101402.0, 31.07, 0
21575, -6.33, 101401.0, 31.07, 0
21917, -6.58, 101404.0, 31.07, 0
22256, -6.58, 101404.0, 31.08, 0
22489, -6.41, 101402.0, 31.08, 0
22716, -6.33, 101401.0, 31.08, 0
22942, -6.58, 101404.0, 31.08, 0
23170, -6.41, 101402.0, 31.09, 0
23943, -6.58, 101404.0, 31.1, 0
24498, -6.58, 101404.0, 31.11, 0
24836, -6.49, 101403.0, 31.12, 0
25174, -6.49, 101403.0, 31.12, 0
25503, -6.33, 101401.0, 31.13, 0
25842, -6.49, 101403.0, 31.13, 0
26397, -6.58, 101404.0, 31.14, 0
27198, -6.66, 101405.0, 31.15, 0
27419, -6.49, 101403.0, 31.15, 0
27646, -6.58, 101404.0, 31.16, 0
27985, -6.41, 101402.0, 31.17, 0
28323, -6.41, 101402.0, 31.17, 0
28664, -6.41, 101402.0, 31.18, 0
28882, -6.49, 101403.0, 31.18, 0
29110, -6.58, 101404.0, 31.18, 0
29661, -6.41, 101402.0, 31.19, 0
30000, -6.66, 101405.0, 31.2, 0
30338, -6.74, 101406.0, 31.2, 0
30679, -6.58, 101404.0, 31.21, 0
30905, -6.58, 101404.0, 31.21, 0
31137, -6.58, 101404.0, 31.21, 0
31355, -6.58, 101404.0, 31.22, 0
31583, -6.49, 101403.0, 31.22, 0
31922, -6.66, 101405.0, 31.23, 0
32260, -6.58, 101404.0, 31.23, 0
32596, -6.58, 101404.0, 31.24, 0
32922, -6.66, 101405.0, 31.25, 0
33476, -6.82, 101407.0, 31.26, 0
33815, -6.58, 101404.0, 31.26, 0
34154, -6.66, 101405.0, 31.26, 0
34630, -6.58, 101404.0, 31.27, 0
34973, -6.74, 101406.0, 31.27, 0
35312, -6.49, 101403.0, 31.28, 0
35538, -6.74, 101406.0, 31.28, 0
35766, -6.74, 101406.0, 31.29, 0
36104, -6.58, 101404.0, 31.29, 0
36435, -6.66, 101405.0, 31.3, 0
36774, -6.66, 101405.0, 31.3, 0
37325, -6.49, 101403.0, 31.31, 0
37667, -6.58, 101404.0, 31.32, 0
