Time (ms), Altitude (m), Pressure (Pa), Temperature (degC), Packet Error
921747, 106.36, 100054.0, 64.5, 0
921965, 106.36, 100054.0, 64.51, 0
923593, 106.27, 100055.0, 64.52, 0
923916, 106.19, 100056.0, 64.52, 0
924128, 106.11, 100057.0, 64.53, 0
924353, 106.11, 100057.0, 64.52, 0
924569, 105.94, 100059.0, 64.53, 0
925212, 105.85, 100060.0, 64.53, 0
925432, 106.19, 100056.0, 64.53, 0
925656, 105.77, 100061.0, 64.54, 0
926442, 105.69, 100062.0, 64.54, 0
927089, 105.85, 100060.0, 64.55, 0
927310, 105.94, 100059.0, 64.55, 0
927526, 105.85, 100060.0, 64.55, 0
928175, 106.02, 100058.0, 64.56, 0
928400, 106.02, 100058.0, 64.56, 0
928614, 106.02, 100058.0, 64.56, 0
930032, 106.19, 100056.0, 64.57, 0
930365, 106.36, 100054.0, 64.57, 0
930687, 106.19, 100056.0, 64.58, 0
930901, 106.36, 100054.0, 64.58, 0
931133, 106.44, 100053.0, 64.58, 0
931359, 106.61, 100051.0, 64.58, 0
931680, 106.61, 100051.0, 64.59, 0
932115, 106.61, 100051.0, 64.59, 0
932333, 106.69, 100050.0, 64.59, 0
932552, 106.69, 100050.0, 64.59, 0
933416, 106.69, 100050.0, 64.6, 0
933737, 106.86, 100048.0, 64.61, 0
934304, 106.61, 100051.0, 64.6, 0
934524, 106.78, 100049.0, 64.6, 0
935722, 106.69, 100050.0, 64.62, 0
935941, 106.78, 100049.0, 64.62, 0
936262, 106.69, 100050.0, 64.62, 0
936485, 106.86, 100048.0, 64.62, 0
937675, 106.69, 100050.0, 64.63, 0
938328, 106.86, 100048.0, 64.64, 0
938543, 106.95, 100047.0, 64.64, 0
938763, 106.86, 100048.0, 64.64, 0
939079, 106.69, 100050.0, 64.65, 0
939311, 106.69, 100050.0, 64.65, 0
939530, 106.78, 100049.0, 64.65, 0
939853, 106.69, 100050.0, 64.65, 0
940724, 106.69, 100050.0, 64.66, 0
941047, 106.53, 100052.0, 64.66, 0
941295, 106.86, 100048.0, 64.65, 0
941509, 106.61, 100051.0, 64.66, 0
941838, 106.78, 100049.0, 64.67, 0
942056, 106.69, 100050.0, 64.67, 0
942287, 106.78, 100049.0, 64.67, 0
942505, 106.69, 100050.0, 64.67, 0
943146, 106.53, 100052.0, 64.68, 0
943469, 106.61, 100051.0, 64.68, 0
943901, 106.53, 100052.0, 64.69, 0
944126, 106.36, 100054.0, 64.68, 0
944349, 106.44, 100053.0, 64.69, 0
944997, 106.53, 100052.0, 64.7, 0
945223, 106.53, 100052.0, 64.69, 0
946083, 106.53, 100052.0, 64.7, 0
946313, 106.69, 100050.0, 64.7, 0
946528, 106.53, 100052.0, 64.7, 0
947174, 106.36, 100054.0, 64.71, 0
947401, 106.69, 100050.0, 64.71, 0
947615, 106.27, 100055.0, 64.71, 0
948046, 106.53, 100052.0, 64.72, 0
949364, 106.61, 100051.0, 64.72, 0
950349, 106.44, 100053.0, 64.73, 0
951000, 106.36, 100054.0, 64.74, 0
951756, 106.11, 100057.0, 64.75, 0
951973, 106.02, 100058.0, 64.75, 0
952514, 106.27, 100055.0, 64.75, 0
952837, 106.19, 100056.0, 64.75, 0
953407, 106.36, 100054.0, 64.75, 0
954169, 106.78, 100049.0, 64.76, 0
954808, 106.69, 100050.0, 64.77, 0
955137, 106.78, 100049.0, 64.77, 0
955366, 106.86, 100048.0, 64.77, 0
956124, 106.61, 100051.0, 64.78, 0
956774, 106.27, 100055.0, 64.79, 0
956993, 106.61, 100051.0, 64.79, 0
957433, 106.44, 100053.0, 64.79, 0
957865, 106.53, 100052.0, 64.79, 0
958084, 106.53, 100052.0, 64.79, 0
958307, 106.19, 100056.0, 64.79, 0
958955, 106.19, 100056.0, 64.8, 0
959176, 106.44, 100053.0, 64.8, 0
959710, 106.19, 100056.0, 64.81, 0
960033, 106.36, 100054.0, 64.81, 0
960371, 106.53, 100052.0, 64.81, 0
961368, 106.53, 100052.0, 64.81, 0
961695, 106.69, 100050.0, 64.82, 0
962465, 106.44, 100053.0, 64.83, 0
962900, 106.44, 100053.0, 64.83, 0
963119, 106.61, 100051.0, 64.83, 0
963658, 106.53, 100052.0, 64.84, 0
963877, 106.95, 100047.0, 64.84, 0
964751, 106.86, 100048.0, 64.84, 0
964970, 106.78, 100049.0, 64.84, 0
965284, 106.44, 100053.0, 64.85, 0
965609, 106.69, 100050.0, 64.85, 0
966693, 106.44, 100053.0, 64.86, 0
966912, 106.61, 100051.0, 64.86, 0
967367, 106.44, 100053.0, 64.86, 0
967690, 106.19, 100056.0, 64.86, 0
968471, 106.27, 100055.0, 64.87, 0
968902, 106.19, 100056.0, 64.87, 0
969236, 106.36, 100054.0, 64.87, 0
969560, 106.44, 100053.0, 64.88, 0
969994, 106.19, 100056.0, 64.88, 0
970317, 106.36, 100054.0, 64.88, 0
970747, 106.53, 100052.0, 64.89, 0
971070, 106.53, 100052.0, 64.89, 0
971936, 106.61, 100051.0, 64.89, 0
972172, 106.78, 100049.0, 64.89, 0
972392, 106.86, 100048.0, 64.89, 0
972611, 106.78, 100049.0, 64.9, 0
973290, 106.86, 100048.0, 64.9, 0
973615, 106.53, 100052.0, 64.9, 0
974387, 106.53, 100052.0, 64.91, 0
975368, 106.36, 100054.0, 64.91, 0
975799, 106.44, 100053.0, 64.92, 0
976018, 106.61, 100051.0, 64.92, 0
976463, 106.36, 100054.0, 64.92, 0
976896, 106.27, 100055.0, 64.93, 0
977115, 106.36, 100054.0, 64.93, 0
977655, 106.44, 100053.0, 64.93, 0
978847, 106.27, 100055.0, 64.94, 0
979072, 106.27, 100055.0, 64.94, 0
980399, 106.27, 100055.0, 64.95, 0
980723, 106.11, 100057.0, 64.95, 0
981295, 106.19, 100056.0, 64.95, 0
981620, 106.44, 100053.0, 64.96, 0
982700, 106.27, 100055.0, 64.97, 0
982918, 106.36, 100054.0, 64.97, 0
983463, 106.36, 100054.0, 64.97, 0
983685, 106.19, 100056.0, 64.97, 0
984221, 106.27, 100055.0, 64.98, 0
984440, 106.44, 100053.0, 64.98, 0
985635, 106.27, 100055.0, 64.99, 0
985882, 106.27, 100055.0, 64.98, 0
986095, 106.44, 100053.0, 64.99, 0
986536, 106.27, 100055.0, 64.99, 0
987176, 106.27, 100055.0, 65.0, 0
987493, 106.19, 100056.0, 65.01, 0
987712, 106.27, 100055.0, 65.01, 0
988370, 106.19, 100056.0, 65.01, 0
988799, 106.11, 100057.0, 65.01, 0
989021, 105.94, 100059.0, 65.01, 0
989265, 105.85, 100060.0, 65.01, 0
989588, 106.19, 100056.0, 65.02, 0
990369, 106.02, 100058.0, 65.02, 0
990692, 105.85, 100060.0, 65.03, 0
991257, 105.94, 100059.0, 65.02, 0
991580, 105.77, 100061.0, 65.03, 0
991794, 105.69, 100062.0, 65.03, 0
992013, 105.69, 100062.0, 65.04, 0
992248, 105.6, 100063.0, 65.03, 0
992563, 105.77, 100061.0, 64.97, 0
993249, 105.69, 100062.0, 64.92, 0
994184, 105.77, 100061.0, 64.91, 0
994983, 105.94, 100059.0, 64.91, 0
995553, 105.94, 100059.0, 64.91, 0
996129, 106.02, 100058.0, 64.91, 0
996458, 106.02, 100058.0, 64.99, 0
996675, 106.27, 100055.0, 65.01, 0
996995, 106.19, 100056.0, 65.03, 0
997210, 106.36, 100054.0, 65.04, 0
997531, 106.61, 100051.0, 65.05, 0
997960, 106.78, 100049.0, 65.06, 0
998290, 106.95, 100047.0, 65.06, 0
998716, 106.78, 100049.0, 65.07, 0
999267, 106.95, 100047.0, 65.07, 0
999905, 107.37, 100042.0, 65.08, 0
1000126, 107.62, 100039.0, 65.08, 0
1001425, 107.28, 100043.0, 65.09, 0
1002063, 106.95, 100047.0, 65.1, 0
1002383, 107.03, 100046.0, 65.1, 0
1002813, 106.86, 100048.0, 65.11, 0
1003029, 106.86, 100048.0, 65.11, 0
1003927, 106.69, 100050.0, 65.11, 0
1004257, 106.61, 100051.0, 65.12, 0
1004578, 106.44, 100053.0, 65.12, 0
1004793, 106.61, 100051.0, 65.12, 0
1005432, 106.44, 100053.0, 65.13, 0
1005856, 106.36, 100054.0, 65.14, 0
1006074, 106.44, 100053.0, 65.14, 0
1006616, 106.27, 100055.0, 65.14, 0
1007039, 106.27, 100055.0, 65.15, 0
1007295, 106.02, 100058.0, 65.14, 0
1007720, 106.11, 100057.0, 65.15, 0
1007938, 105.94, 100059.0, 65.15, 0
1008389, 105.94, 100059.0, 65.15, 0
1008815, 106.11, 100057.0, 65.16, 0
1010499, 106.11, 100057.0, 65.17, 0
1011143, 106.19, 100056.0, 65.18, 0
1011369, 106.11, 100057.0, 65.17, 0
1011585, 106.19, 100056.0, 65.18, 0
1012011, 105.85, 100060.0, 65.19, 0
1012333, 106.11, 100057.0, 65.19, 0
1012975, 106.19, 100056.0, 65.2, 0
1013831, 106.02, 100058.0, 65.2, 0
1014047, 105.94, 100059.0, 65.2, 0
1014285, 105.94, 100059.0, 65.2, 0
1014603, 105.94, 100059.0, 65.21, 0
1014820, 106.11, 100057.0, 65.21, 0
1015146, 106.02, 100058.0, 65.21, 0
1015579, 106.11, 100057.0, 65.21, 0
1015897, 105.94, 100059.0, 65.22, 0
1016109, 106.11, 100057.0, 65.22, 0
1016329, 106.36, 100054.0, 65.22, 0
1016541, 106.19, 100056.0, 65.22, 0
1016759, 106.27, 100055.0, 65.23, 0
1017412, 106.69, 100050.0, 65.23, 0
1017730, 106.69, 100050.0, 65.23, 0
1017941, 106.53, 100052.0, 65.24, 0
1018179, 106.53, 100052.0, 65.23, 0
1018615, 106.27, 100055.0, 65.24, 0
1018933, 106.36, 100054.0, 65.24, 0
1019805, 105.94, 100059.0, 65.25, 0
1020021, 106.11, 100057.0, 65.25, 0
1020265, 105.69, 100062.0, 65.24, 0
1020903, 105.85, 100060.0, 65.25, 0
1021234, 105.77, 100061.0, 65.25, 0
1021659, 105.69, 100062.0, 65.26, 0
