Time (ms), Time (us), Altitude (m), Pressure (Pa), Temperature (degC), Packet Error
34911, 34911063, -7.24, 101412.0, 30.29, 0
35775, 35775921, -7.24, 101412.0, 30.32, 0
36403, 36403059, -7.32, 101413.0, 30.35, 0
37764, 37764922, -7.16, 101411.0, 30.4, 0
38396, 38396088, -7.24, 101412.0, 30.42, 0
39264, 39264921, -7.24, 101412.0, 30.45, 0
40774, 40774926, -7.16, 101411.0, 30.51, 0
41798, 41798894, -7.16, 101411.0, 30.55, 0
42907, 42907088, -7.24, 101412.0, 30.58, 0
44251, 44251888, -7.07, 101410.0, 30.63, 0
45757, 45757894, -7.24, 101412.0, 30.68, 0
46384, 46384886, -7.16, 101411.0, 30.71, 0
48472, 48472095, -7.32, 101413.0, 30.77, 0
2587490193, 3518456969, -5.9043284039717037e-08, 2.234573725254541e+24, 5.568967023320051e-31, 1
51263, 51263896, -7.16, 101411.0, 30.86, 0
52302, 52302899, -7.24, 101412.0, 30.89, 0
52929, 52929087, -7.32, 101413.0, 30.92, 0
54440, 54440147, -7.16, 101411.0, 30.96, 0
55468, 55468090, -7.07, 101410.0, 31.0, 0
56496, 56496497, -7.16, 101411.0, 31.03, 0
57850, 57850929, -7.32, 101413.0, 31.07, 0
58476, 58476060, -7.16, 101411.0, 31.09, 0
59422, 59422896, -7.24, 101412.0, 31.12, 0
61979, 61979076, -7.16, 101411.0, 31.19, 0
63015, 63015090, -6.99, 101409.0, 31.22, 0
64998, 64998090, -7.32, 101413.0, 31.28, 0
66505, 66505116, -7.07, 101410.0, 31.32, 0
67455, 67455887, -7.16, 101411.0, 31.34, 0
68482, 68482111, -7.16, 101411.0, 31.37, 0
69997, 69997079, -7.24, 101412.0, 31.41, 0
70863, 70863926, -7.32, 101413.0, 31.44, 0
73016, 73016090, -7.16, 101411.0, 31.49, 0
74532, 74532688, -7.16, 101411.0, 31.53, 0
77006, 77006097, -6.99, 101409.0, 31.59, 0
78037, 78037076, -7.24, 101412.0, 31.62, 0
79547, 79547687, -7.07, 101410.0, 31.65, 0
81465, 81465927, -7.32, 101413.0, 31.7, 0
82498, 82498772, -7.07, 101410.0, 31.72, 0
84565, 84565243, -7.07, 101410.0, 31.77, 0
87597, 87597104, -7.07, 101410.0, 31.84, 0
88461, 88461919, -7.16, 101411.0, 31.86, 0
88644, 88644098, -7.07, 101410.0, 31.85, 0
88963, 88963924, -7.07, 101410.0, 31.86, 0
90465, 90465915, -6.99, 101409.0, 31.91, 0
92616, 92616108, -7.07, 101410.0, 31.95, 0
94618, 94618099, -6.91, 101408.0, 31.99, 0
95969, 95969926, -7.07, 101410.0, 32.02, 0
96601, 96601099, -7.16, 101411.0, 32.03, 0
97472, 97472921, -7.07, 101410.0, 32.05, 0
98500, 98500252, -7.24, 101412.0, 32.07, 0
99128, 99128078, -7.07, 101410.0, 32.09, 0
100564, 100564249, -6.99, 101409.0, 32.11, 0
101601, 101601098, -6.99, 101409.0, 32.13, 0
102551, 102551527, -7.24, 101412.0, 32.15, 0
104473, 104473928, -7.07, 101410.0, 32.19, 0
106465, 106465893, -7.16, 101411.0, 32.22, 0
108131, 108131066, -7.16, 101411.0, 32.26, 0
109550, 109550530, -7.24, 101412.0, 32.29, 0
110655, 110655101, -6.91, 101408.0, 32.3, 0
112172, 112172081, -7.24, 101412.0, 32.33, 0
113119, 113119033, -7.16, 101411.0, 32.35, 0
114482, 114482921, -7.07, 101410.0, 32.37, 0
115677, 115677093, -6.91, 101408.0, 32.4, 0
116627, 116627028, -7.24, 101412.0, 32.41, 0
118464, 118464926, -6.99, 101409.0, 32.44, 0
119491, 119491506, -7.07, 101410.0, 32.46, 0
123167, 123167078, -6.99, 101409.0, 32.52, 0
124193, 124193090, -7.24, 101412.0, 32.54, 0
126182, 126182064, -7.07, 101410.0, 32.58, 0
129687, 129687075, -6.99, 101409.0, 32.64, 0
130551, 130551527, -6.91, 101408.0, 32.65, 0
131178, 131178039, -7.16, 101411.0, 32.66, 0
132530, 132530517, -7.24, 101412.0, 32.68, 0
134756, 134756047, -6.91, 101408.0, 32.72, 0
136101, 136101926, -7.07, 101410.0, 32.74, 0
137137, 137137922, -7.07, 101410.0, 32.76, 0
138169, 138169920, -7.07, 101410.0, 32.77, 0
138354, 138354938, -6.99, 101409.0, 32.76, 0
138669, 138669918, -6.91, 101408.0, 32.77, 0
140183, 140183918, -6.99, 101409.0, 32.8, 0
141209, 141209024, -7.07, 101410.0, 32.82, 0
142242, 142242072, -7.07, 101410.0, 32.84, 0
143754, 143754082, -7.07, 101410.0, 32.86, 0
144470, 144470923, -7.16, 101411.0, 32.87, 0
147089, 147089935, -6.82, 101407.0, 32.91, 0
149159, 149159934, -7.07, 101410.0, 32.94, 0
150660, 150660897, -6.99, 101409.0, 32.96, 0
151453, 151453922, -6.91, 101408.0, 32.97, 0
152240, 152240930, -7.07, 101410.0, 32.98, 0
154784, 154784081, -7.07, 101410.0, 33.02, 0
156139, 156139923, -6.99, 101409.0, 33.04, 0
157817, 157817089, -6.99, 101409.0, 33.06, 0
159808, 159808085, -6.66, 101405.0, 33.09, 0
161157, 161157926, -6.82, 101407.0, 33.11, 0
161785, 161785052, -6.82, 101407.0, 33.12, 0
164174, 164174907, -6.91, 101408.0, 33.15, 0
165287, 165287003, -6.82, 101407.0, 33.16, 0
166793, 166793026, -6.91, 101408.0, 33.18, 0
168789, 168789918, -6.99, 101409.0, 33.21, 0
170137, 170137930, -6.91, 101408.0, 33.22, 0
171645, 171645940, -6.99, 101409.0, 33.24, 0
172352, 172352078, -7.07, 101410.0, 33.26, 0
174195, 174195922, -6.82, 101407.0, 33.27, 0
174829, 174829083, -6.91, 101408.0, 33.28, 0
175172, 175172989, -6.91, 101408.0, 33.17, 0
175992, 175992809, -6.82, 101407.0, 33.1, 0
176784, 176784474, -6.82, 101407.0, 33.09, 0
177575, 177575842, -6.82, 101407.0, 33.09, 0
178355, 178355175, -6.99, 101409.0, 33.09, 0
178665, 178665536, -6.99, 101409.0, 33.11, 0
179695, 179695920, -7.07, 101410.0, 33.29, 0
180398, 180398072, -6.91, 101408.0, 33.32, 0
181259, 181259927, -7.07, 101410.0, 33.34, 0
181887, 181887077, -6.82, 101407.0, 33.35, 0
182910, 182910087, -7.07, 101410.0, 33.36, 0
183769, 183769920, -7.07, 101410.0, 33.38, 0
184475, 184475929, -6.74, 101406.0, 33.38, 0
185408, 185408088, -6.82, 101407.0, 33.4, 0
186922, 186922083, -7.07, 101410.0, 33.42, 0
187547, 187547531, -7.07, 101410.0, 33.43, 0
188250, 188250914, -7.16, 101411.0, 33.44, 0
188716, 188716920, -6.99, 101409.0, 33.45, 0
189423, 189423080, -7.07, 101410.0, 33.46, 0
190284, 190284899, -6.99, 101409.0, 33.47, 0
190912, 190912082, -7.07, 101410.0, 33.48, 0
192404, 192404092, -7.07, 101410.0, 33.49, 0
193268, 193268889, -7.07, 101410.0, 33.5, 0
193890, 193890058, -7.07, 101410.0, 33.51, 0
194991, 194991928, -6.91, 101408.0, 33.52, 0
195454, 195454079, -7.07, 101410.0, 33.53, 0
195619, 195619930, -7.07, 101410.0, 33.52, 0
197402, 197402070, -6.99, 101409.0, 33.55, 0
198743, 198743922, -6.91, 101408.0, 33.56, 0
199371, 199371918, -7.16, 101411.0, 33.57, 0
200001, 200001926, -6.82, 101407.0, 33.57, 0
201328, 201328923, -6.91, 101408.0, 33.59, 0
201957, 201957089, -6.99, 101409.0, 33.6, 0
202424, 202424114, -7.16, 101411.0, 33.6, 0
203291, 203291928, -6.99, 101409.0, 33.61, 0
203914, 203914981, -6.99, 101409.0, 33.62, 0
204936, 204936132, -6.99, 101409.0, 33.63, 0
206269, 206269921, -6.99, 101409.0, 33.64, 0
207295, 207295899, -6.99, 101409.0, 33.66, 0
207920, 207920922, -6.91, 101408.0, 33.66, 0
208783, 208783887, -6.82, 101407.0, 33.67, 0
209493, 209493210, -6.99, 101409.0, 33.68, 0
210352, 210352921, -7.07, 101410.0, 33.69, 0
210979, 210979081, -6.99, 101409.0, 33.7, 0
211447, 211447021, -7.07, 101410.0, 33.7, 0
212314, 212314897, -6.91, 101408.0, 33.71, 0
212939, 212939921, -7.16, 101411.0, 33.72, 0
213539, 213539694, -6.82, 101407.0, 33.65, 0
214410, 214410917, -6.82, 101407.0, 33.72, 0
215508, 215508417, -7.07, 101410.0, 33.74, 0
216373, 216373922, -6.82, 101407.0, 33.75, 0
217471, 217471078, -6.91, 101408.0, 33.76, 0
218494, 218494296, -6.82, 101407.0, 33.76, 0
219351, 219351923, -7.16, 101411.0, 33.78, 0
220379, 220379929, -7.07, 101410.0, 33.78, 0
220842, 220842922, -6.91, 101408.0, 33.79, 0
221468, 221468922, -6.99, 101409.0, 33.8, 0
222096, 222096928, -6.99, 101409.0, 33.8, 0
223035, 223035079, -7.07, 101410.0, 33.81, 0
223903, 223903925, -6.91, 101408.0, 33.82, 0
224529, 224529697, -6.99, 101409.0, 33.82, 0
225395, 225395922, -7.07, 101410.0, 33.83, 0
225858, 225858893, -6.99, 101409.0, 33.84, 0
226486, 226486131, -6.99, 101409.0, 33.84, 0
227113, 227113931, -6.91, 101408.0, 33.85, 0
227977, 227977928, -6.99, 101409.0, 33.85, 0
228841, 228841898, -6.99, 101409.0, 33.86, 0
229543, 229543690, -6.91, 101408.0, 33.87, 0
230408, 230408922, -6.74, 101406.0, 33.88, 0
231055, 231055081, -6.82, 101407.0, 33.88, 0
232139, 232139924, -6.99, 101409.0, 33.88, 0
232999, 232999930, -6.99, 101409.0, 33.9, 0
233464, 233464929, -7.16, 101411.0, 33.9, 0
234015, 234015022, -7.07, 101410.0, 33.91, 0
234877, 234877923, -6.99, 101409.0, 33.92, 0
235497, 235497945, -6.99, 101409.0, 33.92, 0
236362, 236362923, -6.99, 101409.0, 33.93, 0
237388, 237388927, -7.07, 101410.0, 33.94, 0
238012, 238012921, -6.82, 101407.0, 33.94, 0
239030, 239030020, -6.99, 101409.0, 33.95, 0
240134, 240134925, -6.91, 101408.0, 33.96, 0
241067, 241067082, -6.91, 101408.0, 33.97, 0
241933, 241933928, -6.99, 101409.0, 33.97, 0
242560, 242560690, -6.99, 101409.0, 33.98, 0
243421, 243421921, -6.82, 101407.0, 33.99, 0
244047, 244047034, -6.99, 101409.0, 33.99, 0
245381, 245381912, -6.91, 101408.0, 34.0, 0
246083, 246083088, -6.91, 101408.0, 34.01, 0
246952, 246952916, -6.82, 101407.0, 34.01, 0
247422, 247422923, -6.91, 101408.0, 34.02, 0
248047, 248047925, -6.82, 101407.0, 34.03, 0
248763, 248763922, -6.99, 101409.0, 34.03, 0
249444, 249444926, -6.91, 101408.0, 34.02, 0
250068, 250068055, -6.82, 101407.0, 34.04, 0
250933, 250933928, -6.91, 101408.0, 34.05, 0
251559, 251559473, -6.82, 101407.0, 34.05, 0
252187, 252187921, -6.74, 101406.0, 34.06, 0
252896, 252896924, -6.91, 101408.0, 34.06, 0
253597, 253597097, -6.82, 101407.0, 34.07, 0
254224, 254224923, -6.82, 101407.0, 34.07, 0
255652, 255652098, -6.66, 101405.0, 34.08, 0
256118, 256118082, -6.99, 101409.0, 34.09, 0
256984, 256984921, -6.82, 101407.0, 34.09, 0
257452, 257452924, -6.91, 101408.0, 34.1, 0
258080, 258080921, -6.74, 101406.0, 34.1, 0
258468, 258468924, -6.99, 101409.0, 34.1, 0
259494, 259494150, -6.82, 101407.0, 34.11, 0
260112, 260112087, -7.07, 101410.0, 34.12, 0
