Time (ms), Altitude (m), Pressure (Pa), Temperature (degC), Packet Error
200100, -13.15, 101483.0, 23.31, 0
200537, -13.23, 101484.0, 23.32, 0
200970, -13.06, 101482.0, 23.32, 0
201396, -13.23, 101484.0, 23.31, 0
201829, -13.23, 101484.0, 23.3, 0
202261, -13.31, 101485.0, 23.3, 0
202588, -13.23, 101484.0, 23.3, 0
202804, -13.23, 101484.0, 23.3, 0
203238, -13.31, 101485.0, 23.28, 0
203581, -13.23, 101484.0, 23.26, 0
204012, -13.23, 101484.0, 23.25, 0
204440, -12.98, 101481.0, 23.24, 0
204870, -12.98, 101481.0, 23.23, 0
205307, -13.15, 101483.0, 23.22, 0
205637, -12.81, 101479.0, 23.21, 0
205850, -13.15, 101483.0, 23.21, 0
206283, -12.98, 101481.0, 23.21, 0
206713, -13.15, 101483.0, 23.22, 0
207141, -12.98, 101481.0, 23.22, 0
207575, -13.06, 101482.0, 23.22, 0
208006, -12.98, 101481.0, 23.22, 0
208434, -12.98, 101481.0, 23.22, 0
208758, -12.9, 101480.0, 23.22, 0
208974, -12.9, 101480.0, 23.22, 0
209401, -12.81, 101479.0, 23.23, 0
209839, -12.98, 101481.0, 23.23, 0
210270, -12.81, 101479.0, 23.24, 0
210700, -12.9, 101480.0, 23.24, 0
211127, -12.73, 101478.0, 23.24, 0
211449, -13.06, 101482.0, 23.24, 0
211677, -12.98, 101481.0, 23.24, 0
212104, -12.98, 101481.0, 23.24, 0
212340, -12.98, 101481.0, 23.24, 0
212572, -12.98, 101481.0, 23.23, 0
212898, -12.9, 101480.0, 23.23, 0
213429, -12.81, 101479.0, 23.22, 0
213858, -12.73, 101478.0, 23.23, 0
214183, -13.06, 101482.0, 23.23, 0
214398, -12.81, 101479.0, 23.23, 0
214831, -12.9, 101480.0, 23.23, 0
215259, -12.56, 101476.0, 23.23, 0
215912, -12.73, 101478.0, 23.21, 0
216344, -12.73, 101478.0, 23.19, 0
216583, -12.65, 101477.0, 23.17, 0
216798, -12.48, 101475.0, 23.16, 0
217015, -12.65, 101477.0, 23.15, 0
217443, -12.56, 101476.0, 23.15, 0
217875, -12.48, 101475.0, 23.14, 0
218305, -12.56, 101476.0, 23.12, 0
218634, -12.4, 101474.0, 23.1, 0
218849, -12.56, 101476.0, 23.1, 0
219284, -12.4, 101474.0, 23.07, 0
219716, -12.31, 101473.0, 23.03, 0
220143, -12.48, 101475.0, 22.99, 0
220798, -12.48, 101475.0, 22.97, 0
221123, -12.65, 101477.0, 22.95, 0
221340, -12.65, 101477.0, 22.94, 0
221673, -12.56, 101476.0, 22.94, 0
221886, -12.56, 101476.0, 22.95, 0
222318, -12.48, 101475.0, 22.95, 0
222642, -12.48, 101475.0, 22.95, 0
222858, -12.31, 101473.0, 22.95, 0
223290, -12.23, 101472.0, 22.95, 0
223623, -12.31, 101473.0, 22.95, 0
223836, -12.15, 101471.0, 22.95, 0
224268, -12.31, 101473.0, 22.95, 0
224606, -12.23, 101472.0, 22.96, 0
224818, -12.15, 101471.0, 22.96, 0
225249, -12.31, 101473.0, 22.97, 0
225823, -12.06, 101470.0, 22.97, 0
226258, -12.06, 101470.0, 22.97, 0
226502, -12.06, 101470.0, 22.94, 0
226724, -11.9, 101468.0, 22.95, 0
227045, -12.31, 101473.0, 22.97, 0
227262, -12.23, 101472.0, 22.97, 0
227482, -12.23, 101472.0, 22.98, 0
227913, -12.06, 101470.0, 22.99, 0
228241, -12.15, 101471.0, 22.99, 0
228601, -11.98, 101469.0, 22.99, 0
228813, -11.98, 101469.0, 22.99, 0
229242, -11.82, 101467.0, 23.01, 0
