Time (ms), Time (us), accX, accY, accZ, gyroX, gyroY, gyroZ, tempC, Packet Error
0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
198417, 198417579, -0.69, -0.01, -0.01, -0.25, -0.25, -0.25, 21.23, 0
200070, 200070582, -0.69, -0.01, -0.01, -0.28, -0.28, -0.28, 21.28, 0
0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
200499, 200499583, -0.75, -0.01, -0.01, -0.27, -0.27, -0.27, 21.23, 0
0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
200940, 200940583, -0.74, -0.01, -0.01, -0.26, -0.26, -0.26, 21.09, 0
201078, 201078577, -0.73, -0.01, -0.01, -0.24, -0.24, -0.24, 21.18, 0
201366, 201366580, -0.7, -0.01, -0.01, -0.26, -0.26, -0.26, 21.18, 0
201473, 201473385, -0.71, -0.01, -0.01, -0.28, -0.28, -0.28, 21.18, 0
201799, 201799578, -0.71, -0.01, -0.01, -0.27, -0.27, -0.27, 21.18, 0
0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
202228, 202228580, -0.69, -0.01, -0.01, -0.26, -0.26, -0.26, 21.18, 0
202369, 202369584, -0.73, -0.01, -0.01, -0.26, -0.26, -0.26, 21.18, 0
202560, 202560578, -0.72, -0.01, -0.01, -0.27, -0.27, -0.27, 21.23, 0
202774, 202774578, -0.71, -0.01, -0.01, -0.28, -0.28, -0.28, 21.0, 0
0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
203204, 203204578, -0.76, -0.01, -0.01, -0.27, -0.27, -0.27, 21.0, 0
203346, 203346576, -0.73, -0.01, -0.01, -0.25, -0.25, -0.25, 21.04, 0
203545, 203545578, -0.71, -0.01, -0.01, -0.25, -0.25, -0.25, 21.09, 0
203692, 203692583, -0.77, -0.01, -0.01, -0.24, -0.24, -0.24, 21.0, 0
203982, 203982580, -0.66, -0.01, -0.01, -0.29, -0.29, -0.29, 21.04, 0
204120, 204120584, -0.7, -0.01, -0.01, -0.27, -0.27, -0.27, 21.04, 0
204410, 204410580, -0.71, -0.01, -0.01, -0.28, -0.28, -0.28, 21.09, 0
0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
204840, 204840580, -0.7, -0.01, -0.01, -0.27, -0.27, -0.27, 21.14, 0
0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
205195, 205195575, -0.61, -0.01, -0.01, -0.26, -0.26, -0.26, 21.14, 0
205415, 205415586, -0.64, -0.01, -0.01, -0.26, -0.26, -0.26, 21.14, 0
205622, 205622580, -0.73, -0.01, -0.01, -0.27, -0.27, -0.27, 21.14, 0
205820, 205820578, -0.7, -0.01, -0.01, -0.25, -0.25, -0.25, 21.18, 0
0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
206250, 206250578, -0.71, -0.01, -0.01, -0.27, -0.27, -0.27, 21.09, 0
206391, 206391575, -0.66, -0.01, -0.01, -0.24, -0.24, -0.24, 21.18, 0
206608, 206608575, -0.73, -0.01, -0.01, -0.27, -0.27, -0.27, 21.14, 0
206820, 206820582, -0.68, -0.01, -0.01, -0.26, -0.26, -0.26, 21.18, 0
207111, 207111578, -0.67, -0.01, -0.01, -0.25, -0.25, -0.25, 21.28, 0
0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
207539, 207539582, -0.72, -0.01, -0.01, -0.27, -0.27, -0.27, 21.23, 0
0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
207973, 207973578, -0.75, -0.01, -0.01, -0.26, -0.26, -0.26, 21.14, 0
208114, 208114574, -0.73, -0.01, -0.01, -0.27, -0.27, -0.27, 21.28, 0
208404, 208404580, -0.66, -0.01, -0.01, -0.26, -0.26, -0.26, 21.18, 0
208541, 208541575, -0.7, -0.01, -0.01, -0.28, -0.28, -0.28, 21.18, 0
208744, 208744572, -0.6, -0.01, -0.01, -0.25, -0.25, -0.25, 21.28, 0
208941, 208941578, -0.71, -0.01, -0.01, -0.25, -0.25, -0.25, 21.18, 0
209082, 209082575, -0.75, -0.01, -0.01, -0.26, -0.26, -0.26, 21.23, 0
