Time (ms), Time (us), latt, longi, alt, tStamp, speedMps, heading, numSat, Packet Error
197563, 197563062, -37.873816, 145.054661, 269, 3522400, 0.0, 311, 4, 0
199519, 199519091, -37.873816, 145.054661, 269, 3522600, 0.0, 311, 4, 0
199519, 199519091, -37.873816, 145.054661, 269, 3522600, 0.0, 311, 4, 0
200514, 200514288, -37.873816, 145.054661, 269, 3522700, 0.0, 311, 4, 0
200514, 200514288, -37.873816, 145.054661, 269, 3522700, 0.0, 311, 4, 0
201499, 201499824, -37.873816, 145.054661, 269, 3522800, 0.0, 311, 4, 0
201499, 201499824, -37.873816, 145.054661, 269, 3522800, 0.0, 311, 4, 0
202566, 202566722, -37.873816, 145.054661, 269, 3522900, 0.0, 311, 4, 0
203559, 203559841, -37.873816, 145.054661, 269, 3523000, 0.0, 311, 4, 0
203559, 203559841, -37.873816, 145.054661, 269, 3523000, 0.0, 311, 4, 0
204529, 204529606, -37.873816, 145.054661, 269, 3523100, 0.0, 311, 4, 0
204529, 204529606, -37.873816, 145.054661, 269, 3523100, 0.0, 311, 4, 0
205506, 205506517, -37.873816, 145.054661, 269, 3523200, 0.0, 311, 4, 0
206491, 206491533, -37.873816, 145.054661, 269, 3523300, 0.0, 311, 4, 0
206491, 206491533, -37.873816, 145.054661, 269, 3523300, 0.0, 311, 4, 0
206491, 206491533, -37.873816, 145.054661, 269, 3523300, 0.0, 311, 4, 0
207554, 207554195, -37.873816, 145.054661, 269, 3523400, 0.0, 311, 4, 0
207554, 207554195, -37.873816, 145.054661, 269, 3523400, 0.0, 311, 4, 0
208520, 208520563, -37.873816, 145.054661, 269, 3523500, 0.0, 311, 4, 0
209496, 209496496, -37.873816, 145.054661, 269, 3523600, 0.0, 311, 4, 0
209496, 209496496, -37.873816, 145.054661, 269, 3523600, 0.0, 311, 4, 0
210482, 210482370, -37.873816, 145.054661, 269, 3523700, 0.0, 311, 4, 0
210571, 210571050, -37.873816, 145.054661, 269, 3523700, 0.0, 311, 4, 0
211546, 211546339, -37.873816, 145.054661, 269, 3523800, 0.0, 311, 4, 0
211546, 211546339, -37.873816, 145.054661, 269, 3523800, 0.0, 311, 4, 0
212550, 212550847, -37.873816, 145.054661, 269, 3523900, 0.0, 311, 4, 0
212550, 212550847, -37.873816, 145.054661, 269, 3523900, 0.0, 311, 4, 0
213519, 213519563, -37.873816, 145.054661, 269, 3524000, 0.0, 311, 4, 0
214500, 214500392, -37.873816, 145.054661, 269, 3524100, 0.0, 311, 4, 0
214500, 214500392, -37.873816, 145.054661, 269, 3524100, 0.0, 311, 4, 0
215473, 215473400, -37.873816, 145.054661, 269, 3524200, 0.0, 311, 4, 0
215565, 215565860, -37.873816, 145.054661, 269, 3524200, 0.0, 311, 4, 0
215565, 215565860, -37.873816, 145.054661, 269, 3524200, 0.0, 311, 4, 0
215565, 215565860, -37.873816, 145.054661, 269, 3524200, 0.0, 311, 4, 0
216561, 216561837, -37.873816, 145.054661, 269, 3524300, 0.0, 311, 4, 0
217534, 217534579, -37.873816, 145.054661, 269, 3524400, 0.0, 311, 4, 0
217534, 217534579, -37.873816, 145.054661, 269, 3524400, 0.0, 311, 4, 0
218504, 218504356, -37.873816, 145.054661, 269, 3524500, 0.0, 311, 4, 0
219493, 219493689, -37.873816, 145.054661, 269, 3524600, 0.0, 311, 4, 0
219493, 219493689, -37.873816, 145.054661, 269, 3524600, 0.0, 311, 4, 0
219493, 219493689, -37.873816, 145.054661, 269, 3524600, 0.0, 311, 4, 0
220563, 220563665, -37.873816, 145.054661, 269, 3524700, 0.0, 311, 4, 0
221542, 221542570, -37.873816, 145.054661, 269, 3524800, 0.0, 311, 4, 0
222513, 222513563, -37.873816, 145.054661, 269, 3524900, 0.0, 311, 4, 0
223491, 223491269, -37.873816, 145.054661, 269, 3525000, 0.0, 311, 4, 0
224492, 224492192, -37.873816, 145.054661, 269, 3525100, 0.0, 311, 4, 0
225498, 225498129, -37.873816, 145.054661, 269, 3525200, 0.0, 311, 4, 0
225498, 225498129, -37.873816, 145.054661, 269, 3525200, 0.0, 311, 4, 0
225498, 225498129, -37.873816, 145.054661, 269, 3525200, 0.0, 311, 4, 0
227568, 227568940, -37.873816, 145.054661, 269, 3525400, 0.0, 311, 4, 0
228488, 228488229, -37.873816, 145.054661, 269, 3525500, 0.0, 311, 4, 0
