Time (ms), Time (us), Altitude (m), Pressure (Pa), Temperature (degC), Packet Error
46027, 46027921, -7.16, 101411.0, 33.97, 0
46648, 46648091, -7.16, 101411.0, 33.98, 0
47274, 47274888, -7.24, 101412.0, 33.99, 0
48070, 48070920, -7.07, 101410.0, 34.0, 0
48385, 48385922, -7.07, 101410.0, 34.01, 0
48463, 48463921, -7.24, 101412.0, 34.01, 0
49132, 49132035, -7.07, 101410.0, 34.01, 0
49999, 49999919, -7.07, 101410.0, 34.02, 0
50620, 50620920, -7.24, 101412.0, 34.04, 0
51480, 51480919, -7.32, 101413.0, 34.06, 0
52274, 52274928, -7.07, 101410.0, 34.06, 0
52739, 52739530, -7.24, 101412.0, 34.07, 0
53204, 53204094, -7.24, 101412.0, 34.08, 0
53669, 53669091, -7.07, 101410.0, 34.09, 0
54528, 54528922, -7.07, 101410.0, 34.1, 0
55146, 55146999, -6.99, 101409.0, 34.11, 0
56169, 56169090, -7.07, 101410.0, 34.13, 0
56629, 56629922, -7.16, 101411.0, 34.14, 0
57496, 57496920, -7.07, 101410.0, 34.14, 0
58200, 58200099, -7.07, 101410.0, 34.16, 0
59061, 59061919, -7.07, 101410.0, 34.17, 0
59766, 59766331, -7.16, 101411.0, 34.18, 0
60223, 60223094, -6.99, 101409.0, 34.19, 0
61089, 61089923, -7.41, 101414.0, 34.2, 0
61552, 61552921, -7.24, 101412.0, 34.21, 0
62177, 62177061, -7.16, 101411.0, 34.21, 0
63201, 63201091, -6.99, 101409.0, 34.23, 0
63667, 63667914, -7.32, 101413.0, 34.23, 0
64296, 64296926, -7.24, 101412.0, 34.24, 0
65238, 65238091, -7.32, 101413.0, 34.25, 0
65705, 65705014, -7.16, 101411.0, 34.26, 0
66257, 66257065, -7.32, 101413.0, 34.26, 0
66603, 66603920, -7.07, 101410.0, 34.23, 0
67151, 67151919, -7.07, 101410.0, 34.27, 0
67618, 67618920, -7.07, 101410.0, 34.28, 0
68248, 68248095, -7.07, 101410.0, 34.29, 0
69188, 69188919, -7.24, 101412.0, 34.3, 0
69655, 69655878, -7.24, 101412.0, 34.31, 0
70278, 70278090, -6.91, 101408.0, 34.32, 0
70747, 70747661, -7.24, 101412.0, 34.32, 0
78419, 78419298, -6.91, 101408.0, 34.13, 0
85986, 51383252, -6.90784215927124, 101408.0, 68.37999725341797, 1
93556, 93556300, -7.24, 101412.0, 34.24, 0
102225, 102225296, -7.07, 101410.0, 34.3, 0
109795, 109795300, -7.24, 101412.0, 34.35, 0
117364, 117364393, -7.24, 101412.0, 34.4, 0
126033, 126033301, -7.16, 101411.0, 34.46, 0
133603, 133603317, -7.32, 101413.0, 34.5, 0
141172, 141172259, -7.49, 101415.0, 34.54, 0
148740, 148740294, -7.32, 101413.0, 34.58, 0
157410, 157410324, -7.41, 101414.0, 34.61, 0
164979, 164979306, -7.32, 101413.0, 34.65, 0
173645, 173645319, -7.49, 101415.0, 34.68, 0
181214, 181214313, -7.49, 101415.0, 34.72, 0
188782, 188782313, -7.41, 101414.0, 34.75, 0
196349, 196349301, -7.41, 101414.0, 34.77, 0
203919, 203919299, -7.57, 101416.0, 34.8, 0
211488, 211488311, -7.66, 101417.0, 34.83, 0
219056, 219056301, -7.82, 101419.0, 34.85, 0
226623, 226623299, -7.74, 101418.0, 34.88, 0
234193, 234193301, -7.82, 101419.0, 34.91, 0
242862, 242862304, -7.82, 101419.0, 34.94, 0
251531, 251531854, -7.66, 101417.0, 34.96, 0
259101, 259101307, -7.91, 101420.0, 34.99, 0
266670, 266670305, -7.99, 101421.0, 35.01, 0
274235, 274235310, -8.07, 101422.0, 35.03, 0
282905, 282905304, -7.99, 101421.0, 35.06, 0
290473, 290473293, -7.99, 101421.0, 35.08, 0
298043, 298043320, -7.91, 101420.0, 35.11, 0
306710, 306710552, -7.99, 101421.0, 35.12, 0
2339, 2339926, -7.91, 101420.0, 35.17, 0
2655, 2655004, -8.07, 101422.0, 35.26, 0
3513, 3513909, -8.07, 101422.0, 35.33, 0
4139, 4139041, -8.07, 101422.0, 35.35, 0
5004, 5004906, -8.24, 101424.0, 35.36, 0
5629, 5629087, -8.24, 101424.0, 35.37, 0
