Time (ms), Time (us), Altitude (m), Pressure (Pa), Temperature (degC), Packet Error
14815, 14815965, -7.82, 101419.0, 34.73, 0
15526, 15526912, -7.74, 101418.0, 34.74, 0
17361, 17361981, -7.66, 101417.0, 34.76, 0
18876, 18876969, -7.57, 101416.0, 34.77, 0
19843, 19843970, -7.57, 101416.0, 34.77, 0
21626, 21626919, -7.74, 101418.0, 34.79, 0
22986, 22986911, -7.66, 101417.0, 34.81, 0
23536, 23536912, -7.74, 101418.0, 34.82, 0
24892, 24892973, -7.74, 101418.0, 34.83, 0
26498, 26498911, -7.66, 101417.0, 34.84, 0
27842, 27842969, -7.66, 101417.0, 34.86, 0
28555, 28555911, -7.66, 101417.0, 34.87, 0
29825, 29825967, -7.57, 101416.0, 34.88, 0
30849, 30849966, -7.74, 101418.0, 34.89, 0
31563, 31563881, -7.66, 101417.0, 34.9, 0
32835, 32835963, -7.91, 101420.0, 34.91, 0
34658, 34658911, -7.74, 101418.0, 34.93, 0
35781, 35781084, -7.91, 101420.0, 34.94, 0
37025, 37025916, -7.74, 101418.0, 34.92, 0
38374, 38374982, -7.49, 101415.0, 34.96, 0
39082, 39082912, -7.82, 101419.0, 34.97, 0
40352, 40352984, -7.66, 101417.0, 34.98, 0
41062, 41062911, -7.82, 101419.0, 34.99, 0
44588, 44588911, -7.74, 101418.0, 35.02, 0
45375, 45375989, -7.82, 101419.0, 35.03, 0
46402, 46402958, -7.66, 101417.0, 35.04, 0
47109, 47109911, -7.74, 101418.0, 35.05, 0
48378, 48378982, -7.82, 101419.0, 35.06, 0
50719, 50719912, -7.74, 101418.0, 35.08, 0
52158, 52158916, -7.74, 101418.0, 35.1, 0
52641, 52641877, -7.57, 101416.0, 35.1, 0
53046, 53046964, -7.57, 101416.0, 35.05, 0
55127, 55127912, -7.74, 101418.0, 35.12, 0
55919, 55919969, -7.91, 101420.0, 35.13, 0
57187, 57187883, -7.66, 101417.0, 35.15, 0
57978, 57978964, -7.74, 101418.0, 35.15, 0
59726, 59726910, -7.74, 101418.0, 35.17, 0
62207, 62207909, -7.74, 101418.0, 35.19, 0
63158, 63158915, -7.49, 101415.0, 35.2, 0
66993, 66993926, -7.82, 101419.0, 35.23, 0
67701, 67701911, -7.66, 101417.0, 35.24, 0
77340, 77340928, -7.57, 101416.0, 35.31, 0
2048, 589824, 0.0, 0.0, -0.0, 1
87212, 87212911, -7.66, 101417.0, 35.38, 0
0, 2684354566, 0.0, 0.0, -0.0, 1
0, 2684354560, 0.0, 0.0, 0.0, 1
120990, 120990914, -7.57, 101416.0, 35.53, 0
