Time (ms), Time (us), accX, accY, accZ, gyroX, gyroY, gyroZ, tempC, Packet Error
26717, 26717590, -0.48, -0.0, -0.0, -0.04, -0.04, -0.04, 18.27, 0
26855, 26855590, -0.41, -0.0, -0.0, 0.0, 0.0, 0.0, 18.12, 0
0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
27272, 27272587, -0.4, -0.0, -0.0, 0.0, 0.0, 0.0, 18.31, 0
27398, 27398591, -0.49, -0.0, -0.0, 0.0, 0.0, 0.0, 18.31, 0
0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
27902, 27902590, -0.39, -0.0, -0.0, 0.0, 0.0, 0.0, 18.17, 0
28044, 28044583, -0.32, -0.0, -0.0, -0.01, -0.01, -0.01, 18.36, 0
28332, 28332590, -0.33, -0.0, -0.0, -0.01, -0.01, -0.01, 18.27, 0
28470, 28470584, -0.46, -0.0, -0.0, 0.0, 0.0, 0.0, 18.31, 0
28759, 28759590, -50, 795, -133, -53, -32770, -2241, 1837, 1
0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
29189, 29189586, -0.49, -0.0, -0.0, 0.0, 0.0, 0.0, 18.41, 0
0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
29548, 29548590, -0.41, -0.0, -0.0, 0.0, 0.0, 0.0, 18.36, 0
29764, 29764590, -0.32, -0.0, -0.0, -0.03, -0.03, -0.03, 18.5, 0
30054, 30054590, -0.37, -0.0, -0.0, -0.05, -0.05, -0.05, 18.45, 0
30191, 30191590, -0.32, -0.0, -0.0, -0.05, -0.05, -0.05, 18.5, 0
30482, 30482590, -0.36, -0.0, -0.0, -0.07, -0.07, -0.07, 18.45, 0
0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
30919, 30919590, -0.53, -0.01, -0.01, -0.04, -0.04, -0.04, 18.5, 0
31057, 31057590, -0.5, -0.01, -0.01, -0.02, -0.02, -0.02, 18.41, 0
31348, 31348590, -0.54, -0.01, -0.01, -0.04, -0.04, -0.04, 18.5, 0
0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
31775, 31775590, -0.39, -0.0, -0.0, -0.02, -0.02, -0.02, 18.55, 0
31915, 31915590, -0.37, -0.0, -0.0, -0.02, -0.02, -0.02, 18.6, 0
32206, 32206590, -0.47, -0.0, -0.0, 0.01, 0.01, 0.01, 18.55, 0
32344, 32344583, -0.4, -0.0, -0.0, -0.04, -0.04, -0.04, 18.5, 0
32563, 32563590, -0.35, -0.0, -0.0, -0.05, -0.05, -0.05, 18.6, 0
0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
33068, 33068590, -0.51, -0.01, -0.01, -0.03, -0.03, -0.03, 18.69, 0
0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
33499, 33499926, -0.35, -0.0, -0.0, -0.08, -0.08, -0.08, 18.64, 0
33643, 33643583, -0.33, -0.0, -0.0, -0.04, -0.04, -0.04, 18.64, 0
33933, 33933586, -0.41, -0.0, -0.0, 0.0, 0.0, 0.0, 18.74, 0
34071, 34071583, -0.33, -0.0, -0.0, -0.04, -0.04, -0.04, 18.69, 0
34273, 34273587, -0.38, -0.0, -0.0, -0.04, -0.04, -0.04, 18.64, 0
34475, 34475590, -0.46, -0.0, -0.0, -0.07, -0.07, -0.07, 18.83, 0
34614, 34614590, -0.37, -0.0, -0.0, -0.09, -0.09, -0.09, 18.74, 0
34904, 34904590, -0.41, -0.0, -0.0, -0.03, -0.03, -0.03, 18.74, 0
35042, 35042583, -0.39, -0.0, -0.0, 0.0, 0.0, 0.0, 18.78, 0
0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
35457, 35457580, -0.48, -0.0, -0.0, -0.1, -0.1, -0.1, 18.74, 0
35581, 35581584, -0.28, -0.0, -0.0, -0.01, -0.01, -0.01, 18.78, 0
0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
36014, 36014590, -0.43, -0.0, -0.0, -0.06, -0.06, -0.06, 18.69, 0
36230, 36230583, -0.37, -0.0, -0.0, -0.03, -0.03, -0.03, 18.88, 0
36521, 36521590, -0.31, -0.0, -0.0, -0.04, -0.04, -0.04, 18.83, 0
36660, 36660584, -0.33, -0.0, -0.0, -0.03, -0.03, -0.03, 18.88, 0
36951, 36951590, -0.34, -0.0, -0.0, -0.05, -0.05, -0.05, 18.88, 0
0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
37384, 37384590, -0.43, -0.0, -0.0, -0.07, -0.07, -0.07, 18.97, 0
0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
37816, 37816590, -0.46, -0.0, -0.0, -0.05, -0.05, -0.05, 18.88, 0
0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
38243, 38243590, -0.45, -0.0, -0.0, -0.08, -0.08, -0.08, 18.88, 0
38381, 38381591, -0.37, -0.0, -0.0, -0.05, -0.05, -0.05, 18.97, 0
38669, 38669590, -0.31, -0.0, -0.0, -0.06, -0.06, -0.06, 19.07, 0
0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
39098, 39098590, -0.32, -0.0, -0.0, -0.04, -0.04, -0.04, 19.07, 0
39238, 39238583, -0.37, -0.0, -0.0, -0.03, -0.03, -0.03, 19.02, 0
39525, 39525586, -0.47, -0.0, -0.0, -0.07, -0.07, -0.07, 19.02, 0
0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
39959, 39959590, -0.39, -0.0, -0.0, -0.04, -0.04, -0.04, 19.02, 0
0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
40388, 40388590, -0.4, -0.0, -0.0, -0.04, -0.04, -0.04, 19.07, 0
0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
40821, 40821590, -0.36, -0.0, -0.0, -0.04, -0.04, -0.04, 19.16, 0
40959, 40959584, -0.36, -0.0, -0.0, -0.05, -0.05, -0.05, 19.3, 0
0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
41373, 41373587, -0.5, -0.01, -0.01, -0.05, -0.05, -0.05, 19.21, 0
41503, 41503209, -0.5, -0.01, -0.01, -0.01, -0.01, -0.01, 19.11, 0
0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
42007, 42007590, -0.39, -0.0, -0.0, -0.07, -0.07, -0.07, 19.16, 0
42147, 42147583, -0.39, -0.0, -0.0, -0.05, -0.05, -0.05, 19.21, 0
42439, 42439590, -0.35, -0.0, -0.0, -0.05, -0.05, -0.05, 19.16, 0
42576, 42576583, -0.43, -0.0, -0.0, -0.1, -0.1, -0.1, 19.3, 0
42775, 42775580, -0.44, -0.0, -0.0, -0.01, -0.01, -0.01, 19.11, 0
42973, 42973590, -0.43, -0.0, -0.0, -0.06, -0.06, -0.06, 19.25, 0
43114, 43114590, -0.42, -0.0, -0.0, -0.06, -0.06, -0.06, 19.25, 0
43406, 43406590, -0.42, -0.0, -0.0, -0.07, -0.07, -0.07, 19.3, 0
0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
43840, 43840590, -0.4, -0.0, -0.0, -0.06, -0.06, -0.06, 19.3, 0
0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
44268, 44268590, -0.31, -0.0, -0.0, -0.07, -0.07, -0.07, 19.35, 0
44408, 44408583, -0.4, -0.0, -0.0, -0.08, -0.08, -0.08, 19.4, 0
44641, 44641595, -0.44, -0.0, -0.0, -0.04, -0.04, -0.04, 19.25, 0
44933, 44933587, -0.46, -0.0, -0.0, -0.05, -0.05, -0.05, 19.35, 0
0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
45369, 45369587, -0.31, -0.0, -0.0, -0.01, -0.01, -0.01, 19.44, 0
0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
45800, 45800587, -0.46, -0.0, -0.0, -0.01, -0.01, -0.01, 19.4, 0
0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
46228, 46228587, -0.35, -0.0, -0.0, -0.06, -0.06, -0.06, 19.4, 0
46369, 46369589, -0.35, -0.0, -0.0, -0.03, -0.03, -0.03, 19.44, 0
46583, 46583589, -0.5, -0.01, -0.01, -0.02, -0.02, -0.02, 19.3, 0
0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
47089, 47089587, -0.39, -0.0, -0.0, -0.01, -0.01, -0.01, 19.44, 0
0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
47515, 47515587, -0.43, -0.0, -0.0, -0.08, -0.08, -0.08, 19.49, 0
0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
47951, 47951587, -0.46, -0.0, -0.0, -0.04, -0.04, -0.04, 19.49, 0
