Time (ms), accX, accY, accZ, gyroX, gyroY, gyroZ, tempC, Packet Error
44952, -1.07, -0.01, -0.01, -0.29, -0.29, -0.29, 23.21, 0
44952, -1.07, -0.01, -0.01, -0.29, -0.29, -0.29, 23.21, 0
0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
46841, -0.99, -0.01, -0.01, -0.25, -0.25, -0.25, 23.25, 0
47032, -1.0, -0.01, -0.01, -0.24, -0.24, -0.24, 23.3, 0
47227, -1.04, -0.01, -0.01, -0.26, -0.26, -0.26, 23.35, 0
0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
47572, -1.07, -0.01, -0.01, -0.28, -0.28, -0.28, 23.25, 0
47761, -1.07, -0.01, -0.01, -0.27, -0.27, -0.27, 23.3, 0
47979, -1.08, -0.01, -0.01, -0.3, -0.3, -0.3, 23.35, 0
48174, -1.07, -0.01, -0.01, -0.26, -0.26, -0.26, 23.35, 0
0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
48519, -1.03, -0.01, -0.01, -0.28, -0.28, -0.28, 23.4, 0
48708, -1.01, -0.01, -0.01, -0.28, -0.28, -0.28, 23.44, 0
48924, -1.08, -0.01, -0.01, -0.29, -0.29, -0.29, 23.35, 0
49062, -1.01, -0.01, -0.01, -0.27, -0.27, -0.27, 23.4, 0
49263, -1.07, -0.01, -0.01, -0.26, -0.26, -0.26, 23.4, 0
49452, -1.02, -0.01, -0.01, -0.27, -0.27, -0.27, 23.44, 0
49647, -1.06, -0.01, -0.01, -0.28, -0.28, -0.28, 23.44, 0
0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
49994, -1.09, -0.01, -0.01, -0.24, -0.24, -0.24, 23.49, 0
50182, -1.01, -0.01, -0.01, -0.27, -0.27, -0.27, 23.44, 0
50399, -1.05, -0.01, -0.01, -0.29, -0.29, -0.29, 23.44, 0
50594, -1.08, -0.01, -0.01, -0.28, -0.28, -0.28, 23.49, 0
0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
50939, -1.09, -0.01, -0.01, -0.29, -0.29, -0.29, 23.49, 0
51125, -1.09, -0.01, -0.01, -0.27, -0.27, -0.27, 23.54, 0
51326, -1.07, -0.01, -0.01, -0.25, -0.25, -0.25, 23.49, 0
0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
51671, -1.05, -0.01, -0.01, -0.28, -0.28, -0.28, 23.63, 0
51860, -1.04, -0.01, -0.01, -0.27, -0.27, -0.27, 23.63, 0
52077, -1.02, -0.01, -0.01, -0.25, -0.25, -0.25, 23.58, 0
52273, -1.05, -0.01, -0.01, -0.29, -0.29, -0.29, 23.58, 0
0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
52618, -1.12, -0.01, -0.01, -0.27, -0.27, -0.27, 23.63, 0
52807, -1.06, -0.01, -0.01, -0.27, -0.27, -0.27, 23.58, 0
53019, -1.08, -0.01, -0.01, -0.26, -0.26, -0.26, 23.58, 0
53220, -1.06, -0.01, -0.01, -0.28, -0.28, -0.28, 23.73, 0
0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
53565, -1.07, -0.01, -0.01, -0.29, -0.29, -0.29, 23.68, 0
53754, -1.07, -0.01, -0.01, -0.26, -0.26, -0.26, 23.68, 0
53968, -1.07, -0.01, -0.01, -0.26, -0.26, -0.26, 23.73, 0
54165, -1.09, -0.01, -0.01, -0.27, -0.27, -0.27, 23.82, 0
0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
54510, -1.05, -0.01, -0.01, -0.28, -0.28, -0.28, 23.77, 0
54699, -1.04, -0.01, -0.01, -0.26, -0.26, -0.26, 23.73, 0
54915, -1.1, -0.01, -0.01, -0.27, -0.27, -0.27, 23.68, 0
55049, -1.1, -0.01, -0.01, -0.27, -0.27, -0.27, 23.77, 0
55250, -1.09, -0.01, -0.01, -0.26, -0.26, -0.26, 23.77, 0
55439, -1.13, -0.01, -0.01, -0.27, -0.27, -0.27, 23.82, 0
55634, -1.12, -0.01, -0.01, -0.28, -0.28, -0.28, 23.82, 0
0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
55978, -1.05, -0.01, -0.01, -0.26, -0.26, -0.26, 23.87, 0
56167, -1.04, -0.01, -0.01, -0.26, -0.26, -0.26, 23.82, 0
56383, -1.07, -0.01, -0.01, -0.27, -0.27, -0.27, 23.82, 0
56578, -1.07, -0.01, -0.01, -0.27, -0.27, -0.27, 23.77, 0
0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
56923, -1.03, -0.01, -0.01, -0.28, -0.28, -0.28, 23.91, 0
57114, -1.07, -0.01, -0.01, -0.26, -0.26, -0.26, 23.82, 0
57309, -1.07, -0.01, -0.01, -0.27, -0.27, -0.27, 23.87, 0
0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
57654, -1.07, -0.01, -0.01, -0.28, -0.28, -0.28, 23.91, 0
57843, -1.05, -0.01, -0.01, -0.27, -0.27, -0.27, 23.91, 0
58057, -1.09, -0.01, -0.01, -0.25, -0.25, -0.25, 23.87, 0
58252, -1.11, -0.01, -0.01, -0.28, -0.28, -0.28, 23.87, 0
0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
58597, -1.08, -0.01, -0.01, -0.29, -0.29, -0.29, 23.91, 0
58786, -1.1, -0.01, -0.01, -0.29, -0.29, -0.29, 23.96, 0
