Time (ms), Altitude (m), Pressure (Pa), Temperature (degC), Packet Error
114154, -22.62, 101597.0, 26.91, 0
114469, -22.45, 101595.0, 26.89, 0
114680, -22.62, 101597.0, 26.88, 0
115099, -22.62, 101597.0, 26.87, 0
115414, -22.7, 101598.0, 26.86, 0
115625, -22.37, 101594.0, 26.85, 0
116044, -22.37, 101594.0, 26.84, 0
116359, -22.7, 101598.0, 26.82, 0
116570, -22.54, 101596.0, 26.82, 0
116989, -22.45, 101595.0, 26.8, 0
117304, -22.7, 101598.0, 26.78, 0
117515, -22.45, 101595.0, 26.78, 0
117934, -22.62, 101597.0, 26.76, 0
118249, -22.45, 101595.0, 26.74, 0
118460, -22.54, 101596.0, 26.74, 0
118879, -22.37, 101594.0, 26.74, 0
119194, -22.45, 101595.0, 26.73, 0
119405, -22.37, 101594.0, 26.72, 0
119824, -22.37, 101594.0, 26.71, 0
120139, -22.37, 101594.0, 26.7, 0
120350, -22.37, 101594.0, 26.71, 0
120769, -22.12, 101591.0, 26.7, 0
121084, -22.12, 101591.0, 26.69, 0
121295, -22.12, 101591.0, 26.69, 0
121714, -22.04, 101590.0, 26.68, 0
122029, -22.37, 101594.0, 26.66, 0
122240, -22.21, 101592.0, 26.65, 0
122659, -22.12, 101591.0, 26.63, 0
122974, -22.21, 101592.0, 26.6, 0
123185, -22.04, 101590.0, 26.6, 0
123604, -22.04, 101590.0, 26.59, 0
123919, -22.21, 101592.0, 26.58, 0
124130, -22.12, 101591.0, 26.59, 0
124549, -22.04, 101590.0, 26.58, 0
124864, -22.04, 101590.0, 26.56, 0
125075, -21.79, 101587.0, 26.56, 0
125494, -21.87, 101588.0, 26.55, 0
125809, -21.87, 101588.0, 26.53, 0
126020, -21.87, 101588.0, 26.54, 0
126439, -21.87, 101588.0, 26.53, 0
126754, -21.87, 101588.0, 26.51, 0
126965, -21.96, 101589.0, 26.52, 0
127384, -21.87, 101588.0, 26.51, 0
127699, -21.62, 101585.0, 26.5, 0
127910, -21.62, 101585.0, 26.51, 0
128329, -21.62, 101585.0, 26.49, 0
128644, -21.87, 101588.0, 26.48, 0
128855, -21.71, 101586.0, 26.47, 0
129274, -21.96, 101589.0, 26.45, 0
129589, -21.71, 101586.0, 26.43, 0
129800, -21.87, 101588.0, 26.43, 0
130219, -21.46, 101583.0, 26.41, 0
130534, -21.79, 101587.0, 26.38, 0
130745, -21.71, 101586.0, 26.38, 0
131164, -21.37, 101582.0, 26.35, 0
131479, -21.62, 101585.0, 26.33, 0
131690, -21.62, 101585.0, 26.33, 0
132109, -21.37, 101582.0, 26.31, 0
132424, -21.37, 101582.0, 26.28, 0
132635, -21.46, 101583.0, 26.28, 0
133054, -21.21, 101580.0, 26.25, 0
133369, -21.21, 101580.0, 26.23, 0
133580, -21.29, 101581.0, 26.23, 0
133999, -21.21, 101580.0, 26.23, 0
134314, -21.37, 101582.0, 26.21, 0
134525, -21.46, 101583.0, 26.22, 0
0, 4.408103815583578e-39, -0.0, 0.0, 1
3940, -33.17, 101724.0, 19.81, 0
4358, -33.0, 101722.0, 19.92, 0
4776, -33.17, 101724.0, 19.98, 0
5091, -32.92, 101721.0, 20.01, 0
5302, -33.08, 101723.0, 20.03, 0
5724, -33.0, 101722.0, 20.07, 0
6039, -33.17, 101724.0, 20.1, 0
6250, -33.08, 101723.0, 20.12, 0
6460, -33.0, 101722.0, 20.14, 0
6772, -33.08, 101723.0, 20.17, 0
6982, -33.25, 101725.0, 20.19, 0
7297, -33.08, 101723.0, 20.21, 0
7509, -33.17, 101724.0, 20.24, 0
7929, -33.0, 101722.0, 20.27, 0
8244, -33.17, 101724.0, 20.3, 0
8455, -33.08, 101723.0, 20.32, 0
8874, -33.17, 101724.0, 20.35, 0
9189, -32.92, 101721.0, 20.38, 0
