Time (ms), Time (us), Altitude (m), Pressure (Pa), Temperature (degC), Packet Error
126976, 126976240, -6.24, 101400.0, 31.05, 0
127183, 127183842, -6.16, 101399.0, 31.06, 0
127398, 127398840, -6.16, 101399.0, 31.06, 0
127828, 127828858, -6.33, 101401.0, 31.06, 0
128260, 128260839, -6.24, 101400.0, 31.07, 0
128475, 128475835, -6.41, 101402.0, 31.07, 0
128902, 128902842, -5.99, 101397.0, 31.08, 0
129108, 129108853, -6.08, 101398.0, 31.08, 0
129541, 129541841, -6.08, 101398.0, 31.08, 0
129755, 129755836, -6.16, 101399.0, 31.08, 0
129973, 129973126, -6.16, 101399.0, 31.08, 0
130397, 130397839, -6.24, 101400.0, 31.09, 0
130612, 130612855, -6.16, 101399.0, 31.09, 0
131039, 131039838, -6.24, 101400.0, 31.1, 0
131256, 131256836, -6.16, 101399.0, 31.1, 0
131684, 131684835, -6.24, 101400.0, 31.1, 0
131898, 131898838, -6.24, 101400.0, 31.11, 0
132111, 132111845, -6.08, 101398.0, 31.11, 0
132322, 132322828, -6.33, 101401.0, 31.11, 0
132537, 132537855, -6.24, 101400.0, 31.11, 0
132968, 132968443, -6.24, 101400.0, 31.11, 0
133398, 133398839, -5.99, 101397.0, 31.11, 0
133614, 133614835, -6.24, 101400.0, 31.12, 0
133825, 133825836, -6.08, 101398.0, 31.12, 0
134255, 134255841, -6.16, 101399.0, 31.12, 0
134468, 134468841, -6.24, 101400.0, 31.12, 0
134901, 134901855, -5.91, 101396.0, 31.12, 0
135334, 135334836, -5.91, 101396.0, 31.13, 0
135762, 135762836, -6.08, 101398.0, 31.13, 0
135980, 135980828, -5.99, 101397.0, 31.13, 0
136194, 136194839, -6.16, 101399.0, 31.14, 0
136625, 136625861, -6.16, 101399.0, 31.14, 0
136839, 136839846, -6.08, 101398.0, 31.14, 0
137267, 137267811, -6.08, 101398.0, 31.14, 0
137482, 137482834, -6.16, 101399.0, 31.15, 0
137697, 137697856, -6.08, 101398.0, 31.15, 0
137908, 137908847, -5.99, 101397.0, 31.15, 0
138238, 138238843, -6.16, 101399.0, 31.15, 0
138554, 138554855, -5.99, 101397.0, 31.13, 0
138986, 138986446, -6.08, 101398.0, 31.15, 0
139201, 139201836, -6.08, 101398.0, 31.16, 0
139415, 139415854, -6.16, 101399.0, 31.16, 0
139626, 139626843, -6.24, 101400.0, 31.17, 0
139840, 139840841, -6.08, 101398.0, 31.17, 0
140272, 140272836, -6.08, 101398.0, 31.17, 0
140487, 140487846, -6.33, 101401.0, 31.17, 0
140918, 140918855, -6.16, 101399.0, 31.18, 0
141353, 141353830, -6.16, 101399.0, 31.18, 0
141568, 141568846, -6.16, 101399.0, 31.19, 0
141779, 141779836, -6.24, 101400.0, 31.19, 0
142214, 142214855, -6.08, 101398.0, 31.19, 0
142426, 142426842, -5.99, 101397.0, 31.19, 0
142858, 142858829, -6.08, 101398.0, 31.2, 0
143071, 143071836, -5.99, 101397.0, 31.2, 0
143503, 143503855, -6.24, 101400.0, 31.2, 0
143717, 143717829, -6.16, 101399.0, 31.21, 0
143931, 143931836, -6.08, 101398.0, 31.21, 0
144362, 144362862, -5.99, 101397.0, 31.22, 0
144574, 144574842, -6.16, 101399.0, 31.22, 0
144787, 144787856, -6.24, 101400.0, 31.22, 0
145217, 145217836, -6.16, 101399.0, 31.23, 0
145435, 145435851, -5.99, 101397.0, 31.23, 0
145862, 145862839, -6.08, 101398.0, 31.24, 0
146080, 146080838, -6.16, 101399.0, 31.24, 0
146508, 146508836, -6.16, 101399.0, 31.24, 0
146723, 146723846, -5.99, 101397.0, 31.24, 0
146935, 146935855, -6.08, 101398.0, 31.25, 0
147276, 147276855, -6.24, 101400.0, 31.24, 0
147490, 147490856, -5.99, 101397.0, 31.25, 0
147702, 147702842, -6.08, 101398.0, 31.25, 0
147917, 147917833, -6.16, 101399.0, 31.25, 0
148347, 148347833, -6.33, 101401.0, 31.26, 0
148562, 148562838, -6.24, 101400.0, 31.26, 0
148774, 148774855, -6.16, 101399.0, 31.27, 0
149209, 149209842, -6.33, 101401.0, 31.27, 0
149637, 149637836, -5.91, 101396.0, 31.27, 0
149852, 149852842, -6.08, 101398.0, 31.28, 0
150067, 150067835, -6.24, 101400.0, 31.28, 0
150281, 150281856, -6.16, 101399.0, 31.28, 0
150494, 150494829, -6.16, 101399.0, 31.29, 0
150926, 150926830, -6.08, 101398.0, 31.29, 0
151141, 151141841, -6.24, 101400.0, 31.29, 0
151462, 151462856, -5.91, 101396.0, 31.3, 0
151770, 151770851, -6.24, 101400.0, 31.27, 0
151987, 151987049, -6.08, 101398.0, 31.29, 0
152418, 152418854, -6.16, 101399.0, 31.3, 0
152849, 152849844, -6.08, 101398.0, 31.31, 0
153064, 153064830, -5.83, 101395.0, 31.31, 0
153278, 153278856, -6.24, 101400.0, 31.31, 0
153490, 153490841, -6.08, 101398.0, 31.32, 0
153703, 153703831, -6.08, 101398.0, 31.32, 0
153917, 153917860, -6.16, 101399.0, 31.32, 0
