Time (ms), latt, longi, alt, tStamp, speedMps, heading, numSat, Packet Error
281086, -38.208771, 145.834755, 114, 102400, 0.0, 211, 7, 0
282094, -38.208771, 145.834755, 114, 102500, 0.0, 211, 7, 0
282094, -38.208771, 145.834755, 114, 102500, 0.0, 211, 7, 0
282094, -38.208771, 145.834755, 114, 102500, 0.0, 211, 7, 0
282094, -38.208771, 145.834755, 114, 102500, 0.0, 211, 7, 0
283081, -38.208771, 145.834755, 114, 102600, 0.0, 211, 7, 0
283081, -38.208771, 145.834755, 114, 102600, 0.0, 211, 7, 0
283081, -38.208771, 145.834755, 114, 102600, 0.0, 211, 7, 0
283081, -38.208771, 145.834755, 114, 102600, 0.0, 211, 7, 0
284075, -38.208771, 145.834755, 114, 102700, 0.0, 211, 7, 0
284075, -38.208771, 145.834755, 114, 102700, 0.0, 211, 7, 0
284075, -38.208771, 145.834755, 114, 102700, 0.0, 211, 7, 0
285144, -38.208771, 145.834755, 114, 102800, 0.0, 211, 7, 0
285144, -38.208771, 145.834755, 114, 102800, 0.0, 211, 7, 0
285144, -38.208771, 145.834755, 114, 102800, 0.0, 211, 7, 0
286120, -38.208771, 145.834755, 114, 102900, 0.0, 211, 7, 0
286120, -38.208771, 145.834755, 114, 102900, 0.0, 211, 7, 0
287104, -38.208771, 145.834755, 114, 103000, 0.0, 211, 7, 0
287104, -38.208771, 145.834755, 114, 103000, 0.0, 211, 7, 0
288087, -38.208771, 145.834755, 114, 103100, 0.0, 211, 7, 0
288087, -38.208771, 145.834755, 114, 103100, 0.0, 211, 7, 0
288087, -38.208771, 145.834755, 114, 103100, 0.0, 211, 7, 0
288087, -38.208771, 145.834755, 114, 103100, 0.0, 211, 7, 0
289092, -38.208771, 145.834755, 114, 103200, 0.0, 211, 7, 0
290090, -38.208771, 145.834755, 114, 103300, 0.0, 211, 7, 0
290090, -38.208771, 145.834755, 114, 103300, 0.0, 211, 7, 0
291087, -38.208771, 145.834755, 113, 103400, 0.0, 211, 7, 0
292069, -38.208771, 145.834755, 113, 103500, 0.0, 211, 7, 0
292156, -38.208771, 145.834755, 113, 103500, 0.0, 211, 7, 0
292156, -38.208771, 145.834755, 113, 103500, 0.0, 211, 7, 0
292156, -38.208771, 145.834755, 113, 103500, 0.0, 211, 7, 0
293153, -38.208771, 145.834755, 113, 103600, 0.0, 211, 7, 0
293153, -38.208771, 145.834755, 113, 103600, 0.0, 211, 7, 0
293153, -38.208771, 145.834755, 113, 103600, 0.0, 211, 7, 0
294158, -38.208771, 145.834755, 113, 103700, 0.0, 211, 7, 0
294158, -38.208771, 145.834755, 113, 103700, 0.0, 211, 7, 0
