Time (ms), accX, accY, accZ, gyroX, gyroY, gyroZ, tempC, Packet Error
0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
281274, 9.97, 0.1, 0.1, -0.03, -0.03, -0.03, 49.8, 0
281412, 9.94, 0.1, 0.1, -0.05, -0.05, -0.05, 49.75, 0
281617, 10.06, 0.1, 0.1, -0.04, -0.04, -0.04, 49.75, 0
281740, 9.89, 0.1, 0.1, -0.04, -0.04, -0.04, 49.84, 0
281962, 9.91, 0.1, 0.1, -0.06, -0.06, -0.06, 49.8, 0
282177, 9.97, 0.1, 0.1, -0.05, -0.05, -0.05, 49.84, 0
0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
282646, 9.94, 0.1, 0.1, -0.06, -0.06, -0.06, 49.89, 0
282863, 9.91, 0.1, 0.1, -0.04, -0.04, -0.04, 49.89, 0
283050, 9.9, 0.1, 0.1, -0.04, -0.04, -0.04, 49.75, 0
283377, 9.94, 0.1, 0.1, -0.03, -0.03, -0.03, 49.89, 0
283594, 9.99, 0.1, 0.1, -0.04, -0.04, -0.04, 49.8, 0
0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
284044, 9.88, 0.1, 0.1, -0.07, -0.07, -0.07, 49.8, 0
284277, 9.84, 0.1, 0.1, -0.03, -0.03, -0.03, 49.98, 0
284400, 9.88, 0.1, 0.1, -0.03, -0.03, -0.03, 49.98, 0
284616, 9.98, 0.1, 0.1, -0.03, -0.03, -0.03, 49.89, 0
284836, 9.92, 0.1, 0.1, -0.06, -0.06, -0.06, 49.94, 0
285034, 10.01, 0.1, 0.1, -0.05, -0.05, -0.05, 49.94, 0
285277, 10.17, 0.1, 0.1, -0.04, -0.04, -0.04, 49.94, 0
285566, 9.84, 0.1, 0.1, -0.06, -0.06, -0.06, 49.84, 0
285783, 9.96, 0.1, 0.1, -0.04, -0.04, -0.04, 50.03, 0
285920, 9.96, 0.1, 0.1, -0.03, -0.03, -0.03, 49.8, 0
286106, 9.84, 0.1, 0.1, -0.03, -0.03, -0.03, 50.03, 0
286250, 9.85, 0.1, 0.1, -0.04, -0.04, -0.04, 49.98, 0
286454, 9.73, 0.1, 0.1, -0.04, -0.04, -0.04, 49.98, 0
286653, 9.95, 0.1, 0.1, -0.04, -0.04, -0.04, 49.98, 0
0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
287126, 9.87, 0.1, 0.1, -0.02, -0.02, -0.02, 49.98, 0
287415, 9.92, 0.1, 0.1, -0.03, -0.03, -0.03, 49.84, 0
287631, 9.95, 0.1, 0.1, -0.03, -0.03, -0.03, 50.03, 0
287768, 9.94, 0.1, 0.1, -0.04, -0.04, -0.04, 49.98, 0
287969, 9.85, 0.1, 0.1, 0.0, 0.0, 0.0, 49.98, 0
288062, 9.89, 0.1, 0.1, -0.06, -0.06, -0.06, 50.03, 0
288314, 9.88, 0.1, 0.1, -0.07, -0.07, -0.07, 49.98, 0
288527, 9.9, 0.1, 0.1, -0.02, -0.02, -0.02, 50.03, 0
288820, 9.92, 0.1, 0.1, -0.03, -0.03, -0.03, 50.08, 0
289083, 9.96, 0.1, 0.1, -0.04, -0.04, -0.04, 50.03, 0
289207, 9.92, 0.1, 0.1, -0.03, -0.03, -0.03, 50.03, 0
289499, 9.93, 0.1, 0.1, -0.02, -0.02, -0.02, 50.03, 0
289636, 9.96, 0.1, 0.1, -0.06, -0.06, -0.06, 50.08, 0
289837, 9.96, 0.1, 0.1, -0.03, -0.03, -0.03, 50.17, 0
289960, 9.92, 0.1, 0.1, -0.03, -0.03, -0.03, 50.08, 0
290173, 9.94, 0.1, 0.1, -0.05, -0.05, -0.05, 50.13, 0
290312, 10.08, 0.1, 0.1, -0.02, -0.02, -0.02, 50.08, 0
290512, 9.87, 0.1, 0.1, -0.05, -0.05, -0.05, 50.22, 0
290635, 9.99, 0.1, 0.1, -0.03, -0.03, -0.03, 50.13, 0
290852, 9.93, 0.1, 0.1, -0.04, -0.04, -0.04, 50.13, 0
291074, 9.97, 0.1, 0.1, -0.03, -0.03, -0.03, 50.08, 0
291280, 9.75, 0.1, 0.1, -0.03, -0.03, -0.03, 50.22, 0
291418, 9.8, 0.1, 0.1, -0.04, -0.04, -0.04, 50.17, 0
291620, 9.93, 0.1, 0.1, -0.03, -0.03, -0.03, 50.08, 0
291743, 9.91, 0.1, 0.1, -0.04, -0.04, -0.04, 50.08, 0
291963, 9.9, 0.1, 0.1, -0.04, -0.04, -0.04, 50.17, 0
292177, 9.78, 0.1, 0.1, -0.03, -0.03, -0.03, 50.17, 0
0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
292721, 9.9, 0.1, 0.1, -0.03, -0.03, -0.03, 50.17, 0
293010, 9.95, 0.1, 0.1, -0.01, -0.01, -0.01, 50.22, 0
293140, 10.07, 0.1, 0.1, -0.05, -0.05, -0.05, 50.22, 0
293283, 9.96, 0.1, 0.1, -0.04, -0.04, -0.04, 50.17, 0
293498, 9.86, 0.1, 0.1, -0.05, -0.05, -0.05, 50.27, 0
293717, 9.84, 0.1, 0.1, -0.03, -0.03, -0.03, 50.27, 0
294010, 9.9, 0.1, 0.1, -0.01, -0.01, -0.01, 50.17, 0
294147, 9.91, 0.1, 0.1, -0.06, -0.06, -0.06, 50.36, 0
