Time (ms), accX, accY, accZ, gyroX, gyroY, gyroZ, tempC, Packet Error
21240, 10.0, 0.1, 0.1, -0.01, -0.01, -0.01, 24.1, 0
0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
21704, 10.06, 0.1, 0.1, -0.02, -0.02, -0.02, 24.24, 0
21921, 10.18, 0.1, 0.1, -0.02, -0.02, -0.02, 24.29, 0
22213, 10.1, 0.1, 0.1, -0.02, -0.02, -0.02, 24.38, 0
0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
22677, 10.08, 0.1, 0.1, -0.02, -0.02, -0.02, 24.34, 0
22970, 10.05, 0.1, 0.1, -0.02, -0.02, -0.02, 24.43, 0
0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
23438, 10.16, 0.1, 0.1, -0.02, -0.02, -0.02, 24.38, 0
23656, 10.1, 0.1, 0.1, -0.02, -0.02, -0.02, 24.62, 0
23949, 10.1, 0.1, 0.1, -0.02, -0.02, -0.02, 24.48, 0
0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
24415, 10.0, 0.1, 0.1, -0.02, -0.02, -0.02, 24.53, 0
24707, 10.1, 0.1, 0.1, -0.03, -0.03, -0.03, 24.67, 0
24838, 10.05, 0.1, 0.1, -0.02, -0.02, -0.02, 24.57, 0
25050, 10.0, 0.1, 0.1, -0.02, -0.02, -0.02, 24.57, 0
25269, 10.15, 0.1, 0.1, -0.02, -0.02, -0.02, 24.71, 0
25485, 10.05, 0.1, 0.1, -0.02, -0.02, -0.02, 24.57, 0
25777, 10.11, 0.1, 0.1, -0.03, -0.03, -0.03, 24.67, 0
0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
26245, 10.04, 0.1, 0.1, -0.02, -0.02, -0.02, 24.76, 0
26531, 10.01, 0.1, 0.1, -0.02, -0.02, -0.02, 24.81, 0
26750, 10.24, 0.1, 0.1, -0.02, -0.02, -0.02, 24.81, 0
0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
27220, 10.2, 0.1, 0.1, -0.02, -0.02, -0.02, 24.76, 0
27510, 10.12, 0.1, 0.1, -0.02, -0.02, -0.02, 24.76, 0
27652, 10.06, 0.1, 0.1, -0.02, -0.02, -0.02, 24.76, 0
27871, 10.14, 0.1, 0.1, -0.01, -0.01, -0.01, 24.81, 0
28090, 10.04, 0.1, 0.1, -0.02, -0.02, -0.02, 24.76, 0
28307, 9.78, 0.1, 0.1, -0.02, -0.02, -0.02, 24.76, 0
28523, 10.0, 0.1, 0.1, -0.02, -0.02, -0.02, 24.71, 0
28816, 10.03, 0.1, 0.1, -0.02, -0.02, -0.02, 24.9, 0
0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
29268, 10.26, 0.1, 0.1, -0.03, -0.03, -0.03, 24.95, 0
29396, 10.14, 0.1, 0.1, -0.02, -0.02, -0.02, 25.0, 0
29610, 10.16, 0.1, 0.1, -0.02, -0.02, -0.02, 24.9, 0
29903, 10.1, 0.1, 0.1, -0.02, -0.02, -0.02, 25.0, 0
0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
30368, 10.11, 0.1, 0.1, -0.02, -0.02, -0.02, 24.95, 0
0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
30895, 10.08, 0.1, 0.1, -0.02, -0.02, -0.02, 25.04, 0
31022, 10.16, 0.1, 0.1, -0.02, -0.02, -0.02, 25.09, 0
31235, 10.27, 0.1, 0.1, -0.02, -0.02, -0.02, 25.14, 0
31436, 10.13, 0.1, 0.1, -0.01, -0.01, -0.01, 25.04, 0
31562, 10.07, 0.1, 0.1, -0.01, -0.01, -0.01, 25.09, 0
31778, 10.17, 0.1, 0.1, -0.02, -0.02, -0.02, 25.18, 0
31991, 10.1, 0.1, 0.1, -0.02, -0.02, -0.02, 25.14, 0
32284, 9.96, 0.1, 0.1, -0.01, -0.01, -0.01, 25.23, 0
0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
