Time (ms), Altitude (m), Pressure (Pa), Temperature (degC), Packet Error
2556, 44.55, 100791.0, 18.43, 0
3196, 43.88, 100799.0, 18.48, 0
3619, 43.47, 100804.0, 18.46, 0
3834, 43.8, 100800.0, 18.45, 0
4158, 42.71, 100813.0, 18.45, 0
4476, 43.22, 100807.0, 18.46, 0
4690, 43.63, 100802.0, 18.47, 0
4908, 43.05, 100809.0, 18.43, 0
7174, 43.88425064086914, 100799.0, 75612.15625, 1
5343, 44.22, 100795.0, 18.48, 0
5769, 43.88, 100799.0, 18.51, 0
5989, 44.05, 100797.0, 18.52, 0
6310, 43.72, 100801.0, 18.55, 0
6631, 43.8, 100800.0, 18.59, 0
6843, 43.47, 100804.0, 18.61, 0
7482, 43.97, 100798.0, 18.69, 0
7701, 43.38, 100805.0, 18.73, 0
8237, 42.8, 100812.0, 18.82, 0
8454, 42.88, 100811.0, 18.85, 0
9204, 42.05, 100821.0, 18.93, 0
9423, 41.79, 100824.0, 18.95, 0
9638, 42.46, 100816.0, 18.98, 0
9853, 42.46, 100816.0, 19.0, 0
10279, 42.71, 100813.0, 19.04, 0
10916, 42.63, 100814.0, 19.11, 0
11237, 42.21, 100819.0, 19.15, 0
11453, 42.63, 100814.0, 19.17, 0
11666, 42.55, 100815.0, 19.2, 0
11986, 42.3, 100818.0, 19.24, 0
12628, 42.3, 100818.0, 19.31, 0
12844, 42.46, 100816.0, 19.34, 0
13168, 42.8, 100812.0, 19.38, 0
13483, 42.63, 100814.0, 19.42, 0
13697, 42.38, 100817.0, 19.44, 0
14019, 42.55, 100815.0, 19.48, 0
14231, 42.63, 100814.0, 19.51, 0
14446, 42.71, 100813.0, 19.54, 0
14986, 42.55, 100815.0, 19.61, 0
15205, 42.713829040527344, 100813.0, 19.389999389648438, 1
15741, 42.38, 100817.0, 19.71, 0
16058, 42.55, 100815.0, 19.76, 0
16271, 42.88, 100811.0, 19.79, 0
16592, 42.63, 100814.0, 19.83, 0
16807, 42.88, 100811.0, 19.86, 0
17125, 43.38, 100805.0, 19.91, 0
17337, 42.71, 100813.0, 19.94, 0
17556, 43.3, 100806.0, 19.97, 0
17987, 42.88, 100811.0, 20.03, 0
18325, 42.63, 100814.0, 20.04, 0
18755, 43.13, 100808.0, 20.13, 0
19824, 42.96, 100810.0, 20.31, 0
20465, 42.55, 100815.0, 20.41, 0
20684, 42.96, 100810.0, 20.44, 0
21005, 43.13, 100808.0, 20.49, 0
21322, 42.8, 100812.0, 20.55, 0
21539, 42.8, 100812.0, 20.58, 0
21754, 43.13, 100808.0, 20.61, 0
22505, 42.88, 100811.0, 20.74, 0
23152, 42.71, 100813.0, 20.84, 0
24230, 43.22, 100807.0, 21.02, 0
24650, 42.88, 100811.0, 21.09, 0
25286, 43.05, 100809.0, 21.2, 0
25507, 43.13, 100808.0, 21.24, 0
25829, 42.71, 100813.0, 21.29, 0
26047, 43.13, 100808.0, 21.33, 0
26582, 43.05, 100809.0, 21.42, 0
26902, 43.13, 100808.0, 21.48, 0
27117, 42.71, 100813.0, 21.51, 0
27335, 43.13, 100808.0, 21.55, 0
27657, 42.71, 100813.0, 21.61, 0
27973, 43.47, 100804.0, 21.66, 0
28189, 42.88, 100811.0, 21.7, 0
28508, 43.13, 100808.0, 21.75, 0
28724, 43.05, 100809.0, 21.79, 0
29047, 42.71, 100813.0, 21.85, 0
29474, 42.96, 100810.0, 21.92, 0
29790, 42.8, 100812.0, 21.98, 0
30003, 42.8, 100812.0, 22.01, 0
30323, 42.71, 100813.0, 22.07, 0
30536, 42.63, 100814.0, 22.1, 0
30755, 43.05, 100809.0, 22.14, 0
31491, 43.05, 100809.0, 22.23, 0
32132, 42.71, 100813.0, 22.37, 0
32776, 43.22, 100807.0, 22.49, 0
32997, 42.88, 100811.0, 22.52, 0
33534, 42.8, 100812.0, 22.62, 0
33852, 42.8, 100812.0, 22.67, 0
34065, 42.88, 100811.0, 22.71, 0
34281, 42.8, 100812.0, 22.75, 0
34821, 42.96, 100810.0, 22.84, 0
35462, 42.96, 100810.0, 22.95, 0
36543, 42.8, 100812.0, 23.14, 0
36863, 43.05, 100809.0, 23.19, 0
37074, 42.8, 100812.0, 23.23, 0
37712, 42.8, 100812.0, 23.34, 0
38036, 43.05, 100809.0, 23.39, 0
38462, 43.13, 100808.0, 23.47, 0
39104, 42.96, 100810.0, 23.57, 0
39960, 43.13, 100808.0, 23.72, 0
40277, 43.22, 100807.0, 23.77, 0
40492, 43.22, 100807.0, 23.8, 0
40811, 42.88, 100811.0, 23.86, 0
41023, 43.05, 100809.0, 23.89, 0
41243, 43.63, 100802.0, 23.93, 0
41781, 42.96, 100810.0, 24.02, 0
41997, 43.3, 100806.0, 24.05, 0
42748, 43.38, 100805.0, 24.18, 0
43390, 43.55, 100803.0, 24.29, 0
44031, 43.47, 100804.0, 24.39, 0
44249, 43.13, 100808.0, 24.42, 0
44463, 43.13, 100808.0, 24.46, 0
44790, 43.13, 100808.0, 24.48, 0
45006, 43.3, 100806.0, 24.53, 0
45650, 43.38, 100805.0, 24.65, 0
46195, 43.13, 100808.0, 24.74, 0
46623, 43.22, 100807.0, 24.81, 0
46843, 43.38, 100805.0, 24.84, 0
47383, 43.47, 100804.0, 24.93, 0
47697, 43.13, 100808.0, 24.98, 0
47913, 43.13, 100808.0, 25.02, 0
48238, 43.3, 100806.0, 25.07, 0
