Time (ms), Time (us), accX, accY, accZ, gyroX, gyroY, gyroZ, tempC, Packet Error
48503, 48503562, -0.77, -0.01, -0.01, -0.25, -0.25, -0.25, 27.44, 0
50217, 50217569, -0.84, -0.01, -0.01, -0.27, -0.27, -0.27, 27.35, 0
50431, 50431562, -0.68, -0.01, -0.01, -0.27, -0.27, -0.27, 27.25, 0
50646, 50646562, -0.84, -0.01, -0.01, -0.24, -0.24, -0.24, 27.54, 0
50857, 50857569, -0.9, -0.01, -0.01, -0.29, -0.29, -0.29, 27.4, 0
51072, 51072562, -0.76, -0.01, -0.01, -0.23, -0.23, -0.23, 27.44, 0
51287, 51287562, -0.86, -0.01, -0.01, -0.26, -0.26, -0.26, 27.35, 0
51573, 51573567, -0.71, -0.01, -0.01, -0.21, -0.21, -0.21, 27.44, 0
51713, 51713562, -0.73, -0.01, -0.01, -0.23, -0.23, -0.23, 27.49, 0
51927, 51927568, -0.88, -0.01, -0.01, -0.28, -0.28, -0.28, 27.4, 0
52218, 52218567, -0.89, -0.01, -0.01, -0.2, -0.2, -0.2, 27.49, 0
52358, 52358568, -0.84, -0.01, -0.01, -0.2, -0.2, -0.2, 27.54, 0
52650, 52650567, -0.75, -0.01, -0.01, -0.11, -0.11, -0.11, 27.44, 0
52788, 52788568, -0.8, -0.01, -0.01, -0.11, -0.11, -0.11, 27.49, 0
53081, 53081567, -0.72, -0.01, -0.01, -0.23, -0.23, -0.23, 27.49, 0
53222, 53222561, -0.79, -0.01, -0.01, -0.25, -0.25, -0.25, 27.49, 0
53432, 53432562, -0.75, -0.01, -0.01, -0.24, -0.24, -0.24, 27.54, 0
53647, 53647568, -0.76, -0.01, -0.01, -0.22, -0.22, -0.22, 27.49, 0
53862, 53862561, -0.81, -0.01, -0.01, -0.26, -0.26, -0.26, 27.54, 0
54073, 54073569, -0.82, -0.01, -0.01, -0.24, -0.24, -0.24, 27.54, 0
54365, 54365567, -0.84, -0.01, -0.01, -0.28, -0.28, -0.28, 27.54, 0
54505, 54505568, -0.86, -0.01, -0.01, -0.24, -0.24, -0.24, 27.44, 0
54716, 54716568, -0.76, -0.01, -0.01, -0.26, -0.26, -0.26, 27.49, 0
54929, 54929562, -0.73, -0.01, -0.01, -0.25, -0.25, -0.25, 27.44, 0
55219, 55219567, -0.77, -0.01, -0.01, -0.27, -0.27, -0.27, 27.58, 0
55358, 55358562, -0.75, -0.01, -0.01, -0.23, -0.23, -0.23, 27.54, 0
55573, 55573568, -0.85, -0.01, -0.01, -0.16, -0.16, -0.16, 27.58, 0
55787, 55787568, -0.81, -0.01, -0.01, -0.28, -0.28, -0.28, 27.58, 0
56004, 56004568, -0.87, -0.01, -0.01, -0.2, -0.2, -0.2, 27.54, 0
56295, 56295567, -0.92, -0.01, -0.01, -0.26, -0.26, -0.26, 27.58, 0
56436, 56436568, -0.8, -0.01, -0.01, -0.24, -0.24, -0.24, 27.63, 0
56648, 56648562, -0.73, -0.01, -0.01, -0.26, -0.26, -0.26, 27.54, 0
56861, 56861568, -0.86, -0.01, -0.01, -0.22, -0.22, -0.22, 27.58, 0
57079, 57079562, -0.73, -0.01, -0.01, -0.23, -0.23, -0.23, 27.54, 0
57365, 57365567, -0.75, -0.01, -0.01, -0.19, -0.19, -0.19, 27.54, 0
57504, 57504568, -0.87, -0.01, -0.01, -0.2, -0.2, -0.2, 27.58, 0
57720, 57720568, -0.75, -0.01, -0.01, -0.21, -0.21, -0.21, 27.49, 0
58006, 58006567, -0.8, -0.01, -0.01, -0.26, -0.26, -0.26, 27.49, 0
58150, 58150568, -0.75, -0.01, -0.01, -0.23, -0.23, -0.23, 27.63, 0
58365, 58365568, -0.79, -0.01, -0.01, -0.08, -0.08, -0.08, 27.44, 0
58575, 58575568, -0.85, -0.01, -0.01, -0.29, -0.29, -0.29, 27.68, 0
58793, 58793562, -0.85, -0.01, -0.01, -0.14, -0.14, -0.14, 27.49, 0
0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
59417, 59417567, -0.65, -0.01, -0.01, -0.19, -0.19, -0.19, 27.68, 0
59557, 59557562, -0.75, -0.01, -0.01, -0.22, -0.22, -0.22, 27.68, 0
59773, 59773568, -0.87, -0.01, -0.01, -0.19, -0.19, -0.19, 27.58, 0
60065, 60065567, -0.76, -0.01, -0.01, -0.11, -0.11, -0.11, 27.68, 0
60206, 60206562, -0.73, -0.01, -0.01, -0.18, -0.18, -0.18, 27.63, 0
60416, 60416561, -0.8, -0.01, -0.01, -0.29, -0.29, -0.29, 27.54, 0
60707, 60707567, -0.74, -0.01, -0.01, -0.23, -0.23, -0.23, 27.73, 0
60848, 60848562, -0.76, -0.01, -0.01, -0.28, -0.28, -0.28, 27.58, 0
61061, 61061568, -0.8, -0.01, -0.01, -0.26, -0.26, -0.26, 27.63, 0
61351, 61351567, -0.93, -0.01, -0.01, -0.09, -0.09, -0.09, 27.68, 0
61496, 61496562, -0.72, -0.01, -0.01, -0.14, -0.14, -0.14, 27.63, 0
61787, 61787567, -0.69, -0.01, -0.01, -0.24, -0.24, -0.24, 27.82, 0
61925, 61925563, -0.76, -0.01, -0.01, -0.21, -0.21, -0.21, 27.68, 0
62220, 62220567, -0.79, -0.01, -0.01, -0.05, -0.05, -0.05, 27.68, 0
62357, 62357568, -0.74, -0.01, -0.01, -0.22, -0.22, -0.22, 27.63, 0
62648, 62648567, -0.76, -0.01, -0.01, -0.17, -0.17, -0.17, 27.73, 0
62789, 62789568, -0.84, -0.01, -0.01, -0.21, -0.21, -0.21, 27.68, 0
63002, 63002569, -0.84, -0.01, -0.01, -0.2, -0.2, -0.2, 27.68, 0
63295, 63295567, -0.65, -0.01, -0.01, -0.26, -0.26, -0.26, 27.68, 0
63436, 63436562, -0.75, -0.01, -0.01, -0.24, -0.24, -0.24, 27.73, 0
63647, 63647568, -0.73, -0.01, -0.01, -0.21, -0.21, -0.21, 27.68, 0
63938, 63938567, -0.84, -0.01, -0.01, -0.28, -0.28, -0.28, 27.73, 0
64079, 64079568, -0.84, -0.01, -0.01, -0.24, -0.24, -0.24, 27.73, 0
64289, 64289568, -0.88, -0.01, -0.01, -0.16, -0.16, -0.16, 27.63, 0
64580, 64580567, -0.89, -0.01, -0.01, -0.2, -0.2, -0.2, 27.73, 0
64721, 64721568, -0.83, -0.01, -0.01, -0.24, -0.24, -0.24, 27.73, 0
64932, 64932562, -0.77, -0.01, -0.01, -0.25, -0.25, -0.25, 27.68, 0
65230, 65230567, -0.86, -0.01, -0.01, -0.16, -0.16, -0.16, 27.77, 0
65438, 65438567, -0.88, -0.01, -0.01, -0.29, -0.29, -0.29, 27.77, 0
65575, 65575562, -0.7, -0.01, -0.01, -0.26, -0.26, -0.26, 27.73, 0
65790, 65790568, -0.81, -0.01, -0.01, -0.17, -0.17, -0.17, 27.77, 0
66008, 66008562, -0.86, -0.01, -0.01, -0.29, -0.29, -0.29, 27.63, 0
66294, 66294567, -0.72, -0.01, -0.01, -0.25, -0.25, -0.25, 27.68, 0
66435, 66435562, -0.77, -0.01, -0.01, -0.26, -0.26, -0.26, 27.73, 0
66649, 66649568, -0.87, -0.01, -0.01, -0.3, -0.3, -0.3, 27.77, 0
66939, 66939567, -0.81, -0.01, -0.01, -0.23, -0.23, -0.23, 27.73, 0
67085, 67085562, -0.76, -0.01, -0.01, -0.27, -0.27, -0.27, 27.77, 0
67298, 67298569, -0.78, -0.01, -0.01, -0.24, -0.24, -0.24, 27.77, 0
67508, 67508568, -0.83, -0.01, -0.01, -0.26, -0.26, -0.26, 27.73, 0
67721, 67721562, -0.72, -0.01, -0.01, -0.27, -0.27, -0.27, 27.82, 0
67935, 67935562, -0.77, -0.01, -0.01, -0.28, -0.28, -0.28, 27.91, 0
68148, 68148568, -0.89, -0.01, -0.01, -0.26, -0.26, -0.26, 27.77, 0
68362, 68362562, -0.75, -0.01, -0.01, -0.26, -0.26, -0.26, 27.82, 0
68581, 68581568, -0.74, -0.01, -0.01, -0.28, -0.28, -0.28, 27.73, 0
68867, 68867567, -0.82, -0.01, -0.01, -0.27, -0.27, -0.27, 27.82, 0
69010, 69010562, -0.73, -0.01, -0.01, -0.21, -0.21, -0.21, 27.77, 0
69224, 69224562, -0.78, -0.01, -0.01, -0.27, -0.27, -0.27, 27.82, 0
69435, 69435568, -0.84, -0.01, -0.01, -0.21, -0.21, -0.21, 27.73, 0
69648, 69648568, -0.81, -0.01, -0.01, -0.29, -0.29, -0.29, 27.82, 0
69863, 69863562, -0.85, -0.01, -0.01, -0.21, -0.21, -0.21, 27.82, 0
70075, 70075568, -0.81, -0.01, -0.01, -0.2, -0.2, -0.2, 27.87, 0
70368, 70368567, -0.78, -0.01, -0.01, -0.17, -0.17, -0.17, 27.77, 0
70507, 70507568, -0.83, -0.01, -0.01, -0.28, -0.28, -0.28, 27.91, 0
70717, 70717569, -0.84, -0.01, -0.01, -0.31, -0.31, -0.31, 27.82, 0
70931, 70931562, -0.77, -0.01, -0.01, -0.29, -0.29, -0.29, 27.87, 0
71226, 71226567, -0.84, -0.01, -0.01, -0.31, -0.31, -0.31, 27.87, 0
71363, 71363568, -0.87, -0.01, -0.01, -0.2, -0.2, -0.2, 27.87, 0
71577, 71577562, -0.74, -0.01, -0.01, -0.27, -0.27, -0.27, 27.91, 0
71792, 71792561, -0.73, -0.01, -0.01, -0.24, -0.24, -0.24, 27.87, 0
72005, 72005568, -0.82, -0.01, -0.01, -0.25, -0.25, -0.25, 27.87, 0
0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
72440, 72440571, -0.78, -0.01, -0.01, -0.28, -0.28, -0.28, 27.91, 0
72656, 72656562, -0.83, -0.01, -0.01, -0.3, -0.3, -0.3, 27.91, 0
72866, 72866562, -0.75, -0.01, -0.01, -0.24, -0.24, -0.24, 27.82, 0
73083, 73083568, -0.85, -0.01, -0.01, -0.21, -0.21, -0.21, 27.87, 0
73297, 73297562, -0.78, -0.01, -0.01, -0.25, -0.25, -0.25, 27.87, 0
73508, 73508562, -0.66, -0.01, -0.01, -0.25, -0.25, -0.25, 27.91, 0
73798, 73798567, -0.77, -0.01, -0.01, -0.25, -0.25, -0.25, 27.87, 0
74009, 74009567, -0.79, -0.01, -0.01, -0.22, -0.22, -0.22, 27.91, 0
74151, 74151567, -0.8, -0.01, -0.01, -0.18, -0.18, -0.18, 27.82, 0
74361, 74361569, -0.8, -0.01, -0.01, -0.24, -0.24, -0.24, 27.96, 0
74575, 74575562, -0.77, -0.01, -0.01, -0.18, -0.18, -0.18, 27.91, 0
74790, 74790562, -0.89, -0.01, -0.01, -0.27, -0.27, -0.27, 27.96, 0
