Time (ms), accX, accY, accZ, gyroX, gyroY, gyroZ, tempC, Packet Error
202828, 202828578, -10.81, -0.11, -0.11, -0.21, -0.21, -0.21, 32.01, 0
202972, 202972573, -10.83, -0.11, -0.11, -0.19, -0.19, -0.19, 32.01, 0
203212, 203212578, -10.83, -0.11, -0.11, -0.25, -0.25, -0.25, 32.15, 0
203352, 203352577, -10.84, -0.11, -0.11, -0.22, -0.22, -0.22, 32.1, 0
203590, 203590578, -10.86, -0.11, -0.11, -0.28, -0.28, -0.28, 32.01, 0
203733, 203733577, -10.92, -0.11, -0.11, -0.17, -0.17, -0.17, 32.05, 0
203971, 203971578, -10.87, -0.11, -0.11, -0.16, -0.16, -0.16, 32.05, 0
204118, 204118573, -10.86, -0.11, -0.11, -0.23, -0.23, -0.23, 32.05, 0
204353, 204353578, -10.91, -0.11, -0.11, -0.3, -0.3, -0.3, 32.1, 0
204501, 204501574, -10.86, -0.11, -0.11, -0.16, -0.16, -0.16, 32.05, 0
204751, 204751574, -10.88, -0.11, -0.11, -0.14, -0.14, -0.14, 32.01, 0
205005, 205005574, -10.85, -0.11, -0.11, -0.1, -0.1, -0.1, 32.01, 0
205133, 205133572, -10.92, -0.11, -0.11, -0.22, -0.22, -0.22, 32.15, 0
205384, 205384574, -10.87, -0.11, -0.11, -0.25, -0.25, -0.25, 32.1, 0
205520, 205520578, -10.9, -0.11, -0.11, -0.28, -0.28, -0.28, 32.1, 0
205755, 205755578, -10.83, -0.11, -0.11, -0.13, -0.13, -0.13, 32.05, 0
205895, 205895573, -10.85, -0.11, -0.11, -0.28, -0.28, -0.28, 32.05, 0
206133, 206133578, -10.87, -0.11, -0.11, -0.2, -0.2, -0.2, 32.1, 0
206279, 206279578, -10.85, -0.11, -0.11, -0.25, -0.25, -0.25, 32.05, 0
206514, 206514580, -10.88, -0.11, -0.11, -0.26, -0.26, -0.26, 32.1, 0
206655, 206655578, -10.83, -0.11, -0.11, -0.26, -0.26, -0.26, 32.15, 0
206897, 206897574, -10.9, -0.11, -0.11, -0.14, -0.14, -0.14, 32.01, 0
207037, 207037583, -10.8, -0.11, -0.11, -0.22, -0.22, -0.22, 32.15, 0
207275, 207275574, -10.91, -0.11, -0.11, -0.19, -0.19, -0.19, 32.05, 0
207421, 207421575, -10.87, -0.11, -0.11, -0.26, -0.26, -0.26, 32.1, 0
207654, 207654574, -10.86, -0.11, -0.11, -0.25, -0.25, -0.25, 32.15, 0
207798, 207798572, -10.9, -0.11, -0.11, -0.26, -0.26, -0.26, 32.05, 0
208034, 208034574, -10.89, -0.11, -0.11, -0.23, -0.23, -0.23, 32.1, 0
208178, 208178580, -10.84, -0.11, -0.11, -0.26, -0.26, -0.26, 32.1, 0
208417, 208417574, -10.97, -0.11, -0.11, -0.21, -0.21, -0.21, 32.1, 0
208559, 208559581, -10.78, -0.11, -0.11, -0.25, -0.25, -0.25, 32.1, 0
208797, 208797578, -10.83, -0.11, -0.11, -0.21, -0.21, -0.21, 32.1, 0
208943, 208943583, -10.87, -0.11, -0.11, -0.26, -0.26, -0.26, 32.1, 0
209178, 209178574, -10.86, -0.11, -0.11, -0.22, -0.22, -0.22, 32.05, 0
209322, 209322582, -10.87, -0.11, -0.11, -0.26, -0.26, -0.26, 32.01, 0
209562, 209562578, -10.94, -0.11, -0.11, -0.28, -0.28, -0.28, 32.15, 0
209703, 209703572, -10.87, -0.11, -0.11, -0.24, -0.24, -0.24, 32.05, 0
209941, 209941574, -10.85, -0.11, -0.11, -0.23, -0.23, -0.23, 32.01, 0
210084, 210084578, -10.88, -0.11, -0.11, -0.18, -0.18, -0.18, 32.1, 0
210322, 210322578, -10.82, -0.11, -0.11, -0.26, -0.26, -0.26, 32.1, 0
210469, 210469583, -10.91, -0.11, -0.11, -0.29, -0.29, -0.29, 32.05, 0
210705, 210705574, -10.81, -0.11, -0.11, -0.23, -0.23, -0.23, 32.1, 0
210847, 210847583, -10.89, -0.11, -0.11, -0.24, -0.24, -0.24, 31.96, 0
211088, 211088574, -10.91, -0.11, -0.11, -0.19, -0.19, -0.19, 32.05, 0
211228, 211228581, -10.93, -0.11, -0.11, -0.12, -0.12, -0.12, 32.1, 0
211467, 211467577, -10.89, -0.11, -0.11, -0.26, -0.26, -0.26, 32.05, 0
211616, 211616572, -10.85, -0.11, -0.11, -0.23, -0.23, -0.23, 32.15, 0
211847, 211847574, -10.88, -0.11, -0.11, -0.21, -0.21, -0.21, 32.01, 0
211992, 211992581, -10.89, -0.11, -0.11, -0.2, -0.2, -0.2, 32.1, 0
212228, 212228574, -10.89, -0.11, -0.11, -0.19, -0.19, -0.19, 32.01, 0
212373, 212373581, -10.86, -0.11, -0.11, -0.12, -0.12, -0.12, 32.01, 0
212610, 212610574, -10.91, -0.11, -0.11, -0.17, -0.17, -0.17, 32.05, 0
212753, 212753581, -10.86, -0.11, -0.11, -0.23, -0.23, -0.23, 32.05, 0
212991, 212991574, -10.88, -0.11, -0.11, -0.27, -0.27, -0.27, 32.05, 0
213134, 213134582, -10.9, -0.11, -0.11, -0.25, -0.25, -0.25, 32.05, 0
213372, 213372578, -10.85, -0.11, -0.11, -0.23, -0.23, -0.23, 32.15, 0
213518, 213518578, -10.84, -0.11, -0.11, -0.22, -0.22, -0.22, 32.15, 0
213774, 213774578, -10.89, -0.11, -0.11, -0.21, -0.21, -0.21, 32.01, 0
214024, 214024578, -10.86, -0.11, -0.11, -0.1, -0.1, -0.1, 32.1, 0
214152, 214152581, -10.84, -0.11, -0.11, -0.28, -0.28, -0.28, 32.01, 0
214387, 214387606, -10.88, -0.11, -0.11, -0.19, -0.19, -0.19, 32.01, 0
214659, 214659574, -10.91, -0.11, -0.11, -0.27, -0.27, -0.27, 32.05, 0
214913, 214913578, -10.88, -0.11, -0.11, -0.19, -0.19, -0.19, 32.1, 0
215166, 215166570, -10.83, -0.11, -0.11, -0.22, -0.22, -0.22, 32.2, 0
215296, 215296578, -10.89, -0.11, -0.11, -0.17, -0.17, -0.17, 32.2, 0
215546, 215546578, -10.86, -0.11, -0.11, -0.15, -0.15, -0.15, 32.1, 0
215802, 215802574, -10.89, -0.11, -0.11, -0.14, -0.14, -0.14, 32.15, 0
216056, 216056578, -10.87, -0.11, -0.11, -0.2, -0.2, -0.2, 32.1, 0
216310, 216310578, -10.86, -0.11, -0.11, -0.15, -0.15, -0.15, 32.1, 0
216444, 216444575, -10.81, -0.11, -0.11, -0.18, -0.18, -0.18, 32.2, 0
216690, 216690578, -10.84, -0.11, -0.11, -0.21, -0.21, -0.21, 32.01, 0
216949, 216949570, -10.84, -0.11, -0.11, -0.1, -0.1, -0.1, 32.15, 0
217199, 217199578, -10.89, -0.11, -0.11, -0.27, -0.27, -0.27, 32.1, 0
217454, 217454580, -10.91, -0.11, -0.11, -0.2, -0.2, -0.2, 32.05, 0
217581, 217581581, -10.9, -0.11, -0.11, -0.21, -0.21, -0.21, 32.1, 0
217831, 217831578, -10.82, -0.11, -0.11, -0.13, -0.13, -0.13, 32.05, 0
218087, 218087570, -10.86, -0.11, -0.11, -0.19, -0.19, -0.19, 32.1, 0
218342, 218342578, -10.85, -0.11, -0.11, -0.13, -0.13, -0.13, 32.15, 0
218602, 218602578, -10.82, -0.11, -0.11, -0.2, -0.2, -0.2, 32.15, 0
218838, 218838580, -10.86, -0.11, -0.11, -0.24, -0.24, -0.24, 32.15, 0
219044, 219044574, -10.9, -0.11, -0.11, -0.26, -0.26, -0.26, 32.1, 0
219193, 219193578, -10.89, -0.11, -0.11, -0.22, -0.22, -0.22, 32.1, 0
219442, 219442580, -10.84, -0.11, -0.11, -0.14, -0.14, -0.14, 32.1, 0
219696, 219696578, -10.89, -0.11, -0.11, -0.24, -0.24, -0.24, 32.05, 0
219826, 219826572, -10.87, -0.11, -0.11, -0.22, -0.22, -0.22, 32.05, 0
220062, 220062574, -10.8, -0.11, -0.11, -0.24, -0.24, -0.24, 32.1, 0
220205, 220205581, -10.85, -0.11, -0.11, -0.21, -0.21, -0.21, 32.05, 0
220435, 220435574, -10.82, -0.11, -0.11, -0.25, -0.25, -0.25, 32.15, 0
220583, 220583581, -10.9, -0.11, -0.11, -0.18, -0.18, -0.18, 32.15, 0
220821, 220821574, -10.91, -0.11, -0.11, -0.24, -0.24, -0.24, 32.1, 0
220964, 220964572, -10.9, -0.11, -0.11, -0.22, -0.22, -0.22, 32.1, 0
221200, 221200574, -10.86, -0.11, -0.11, -0.26, -0.26, -0.26, 32.1, 0
221348, 221348578, -10.86, -0.11, -0.11, -0.17, -0.17, -0.17, 32.1, 0
221580, 221580574, -10.93, -0.11, -0.11, -0.23, -0.23, -0.23, 32.05, 0
221724, 221724573, -10.86, -0.11, -0.11, -0.18, -0.18, -0.18, 32.15, 0
221961, 221961574, -10.93, -0.11, -0.11, -0.28, -0.28, -0.28, 32.05, 0
222105, 222105578, -10.69, -0.11, -0.11, -0.23, -0.23, -0.23, 32.05, 0
222341, 222341574, -10.9, -0.11, -0.11, -0.17, -0.17, -0.17, 32.24, 0
222488, 222488572, -10.85, -0.11, -0.11, -0.15, -0.15, -0.15, 32.15, 0
222722, 222722574, -10.85, -0.11, -0.11, -0.28, -0.28, -0.28, 32.1, 0
222870, 222870581, -10.83, -0.11, -0.11, -0.26, -0.26, -0.26, 32.15, 0
223104, 223104574, -10.92, -0.11, -0.11, -0.24, -0.24, -0.24, 32.1, 0
