Time (ms), Altitude (m), Pressure (Pa), Temperature (degC), Packet Error
2047129591, 6.019244236234964e-36, -1.7780107916578755e-38, 9.892370240333009e+29, 1
4294966101, 9.80908925027372e-45, nan, nan, 1
2047129591, 6.019244236234964e-36, -1.7780107916578755e-38, 9.892370240333009e+29, 1
1621, 0.0, 0.0, 0.0, 1
256537, -19.46, 101559.0, 35.82, 0
256860, -19.55, 101560.0, 35.82, 0
257508, -19.63, 101561.0, 35.83, 0
257833, -19.55, 101560.0, 35.83, 0
258262, -19.38, 101558.0, 35.83, 0
258483, -19.46, 101559.0, 35.83, 0
259018, -19.63, 101561.0, 35.84, 0
259237, -19.38, 101558.0, 35.83, 0
259995, -19.63, 101561.0, 35.84, 0
260216, -19.38, 101558.0, 35.84, 0
260537, -19.55, 101560.0, 35.84, 0
260860, -19.46, 101559.0, 35.84, 0
261724, -19.55, 101560.0, 35.85, 0
261942, -19.38, 101558.0, 35.85, 0
262696, -19.63, 101561.0, 35.86, 0
262918, -19.46, 101559.0, 35.85, 0
263136, -19.38, 101558.0, 35.86, 0
264439, -19.55, 101560.0, 35.86, 0
264666, -19.46, 101559.0, 35.86, 0
264884, -19.46, 101559.0, 35.86, 0
