Time (ms), Time (us), accX, accY, accZ, gyroX, gyroY, gyroZ, tempC, Packet Error
55097, 55097578, -10.84, -0.11, -0.11, -0.28, -0.28, -0.28, 26.17, 0
55097, 55097578, -10.84, -0.11, -0.11, -0.28, -0.28, -0.28, 26.17, 0
0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
57112, 57112584, -10.85, -0.11, -0.11, -0.27, -0.27, -0.27, 26.08, 0
57253, 57253578, -10.85, -0.11, -0.11, -0.29, -0.29, -0.29, 26.08, 0
57543, 57543584, -10.83, -0.11, -0.11, -0.26, -0.26, -0.26, 26.08, 0
57683, 57683579, -10.91, -0.11, -0.11, -0.31, -0.31, -0.31, 26.17, 0
57973, 57973584, -10.86, -0.11, -0.11, -0.29, -0.29, -0.29, 26.08, 0
0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
58402, 58402584, -10.84, -0.11, -0.11, -0.27, -0.27, -0.27, 26.17, 0
58544, 58544578, -10.82, -0.11, -0.11, -0.27, -0.27, -0.27, 26.08, 0
58745, 58745584, -10.89, -0.11, -0.11, -0.3, -0.3, -0.3, 26.17, 0
58941, 58941584, -10.83, -0.11, -0.11, -0.31, -0.31, -0.31, 26.08, 0
59082, 59082587, -10.82, -0.11, -0.11, -0.27, -0.27, -0.27, 26.13, 0
59369, 59369584, -10.86, -0.11, -0.11, -0.28, -0.28, -0.28, 26.13, 0
0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
59807, 59807584, -10.89, -0.11, -0.11, -0.25, -0.25, -0.25, 26.17, 0
59949, 59949586, -10.87, -0.11, -0.11, -0.29, -0.29, -0.29, 26.13, 0
60237, 60237584, -10.86, -0.11, -0.11, -0.25, -0.25, -0.25, 26.03, 0
0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
60673, 60673584, -10.85, -0.11, -0.11, -0.25, -0.25, -0.25, 25.98, 0
0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
61104, 61104584, -10.9, -0.11, -0.11, -0.28, -0.28, -0.28, 26.13, 0
61242, 61242586, -10.78, -0.11, -0.11, -0.26, -0.26, -0.26, 26.08, 0
61442, 61442584, -10.84, -0.11, -0.11, -0.27, -0.27, -0.27, 26.17, 0
61643, 61643584, -10.89, -0.11, -0.11, -0.28, -0.28, -0.28, 26.08, 0
61783, 61783579, -10.84, -0.11, -0.11, -0.27, -0.27, -0.27, 26.08, 0
62078, 62078584, -10.85, -0.11, -0.11, -0.29, -0.29, -0.29, 26.13, 0
0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
62506, 62506584, -10.86, -0.11, -0.11, -0.29, -0.29, -0.29, 26.17, 0
62647, 62647578, -10.91, -0.11, -0.11, -0.27, -0.27, -0.27, 26.13, 0
62939, 62939584, -10.79, -0.11, -0.11, -0.28, -0.28, -0.28, 26.22, 0
63077, 63077586, -10.86, -0.11, -0.11, -0.29, -0.29, -0.29, 26.17, 0
63367, 63367581, -10.84, -0.11, -0.11, -0.25, -0.25, -0.25, 26.17, 0
63507, 63507579, -10.82, -0.11, -0.11, -0.29, -0.29, -0.29, 26.13, 0
63800, 63800584, -10.89, -0.11, -0.11, -0.3, -0.3, -0.3, 26.27, 0
64024, 64024584, -10.89, -0.11, -0.11, -0.28, -0.28, -0.28, 26.22, 0
0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
64452, 64452584, -10.84, -0.11, -0.11, -0.29, -0.29, -0.29, 26.36, 0
64593, 64593578, -10.84, -0.11, -0.11, -0.27, -0.27, -0.27, 26.31, 0
64886, 64886584, -10.89, -0.11, -0.11, -0.29, -0.29, -0.29, 26.22, 0
65023, 65023586, -10.82, -0.11, -0.11, -0.28, -0.28, -0.28, 26.27, 0
65315, 65315584, -10.8, -0.11, -0.11, -0.29, -0.29, -0.29, 26.22, 0
0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
65749, 65749584, -10.81, -0.11, -0.11, -0.28, -0.28, -0.28, 26.31, 0
0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
66184, 66184584, -10.82, -0.11, -0.11, -0.27, -0.27, -0.27, 26.36, 0
66322, 66322586, -10.87, -0.11, -0.11, -0.29, -0.29, -0.29, 26.17, 0
66645, 66645575, -10.9, -0.11, -0.11, -0.27, -0.27, -0.27, 26.36, 0
66772, 66772587, -10.87, -0.11, -0.11, -0.25, -0.25, -0.25, 26.31, 0
66989, 66989586, -10.88, -0.11, -0.11, -0.16, -0.16, -0.16, 26.31, 0
67280, 67280584, -10.81, -0.11, -0.11, -0.28, -0.28, -0.28, 26.27, 0
0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
67712, 67712584, -10.8, -0.11, -0.11, -0.24, -0.24, -0.24, 26.41, 0
0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
68144, 68144584, -10.83, -0.11, -0.11, -0.23, -0.23, -0.23, 26.27, 0
68286, 68286580, -10.81, -0.11, -0.11, -0.21, -0.21, -0.21, 26.36, 0
68576, 68576584, -10.8, -0.11, -0.11, -0.28, -0.28, -0.28, 26.31, 0
68714, 68714586, -10.85, -0.11, -0.11, -0.25, -0.25, -0.25, 26.27, 0
68914, 68914575, -10.89, -0.11, -0.11, -0.25, -0.25, -0.25, 26.27, 0
69116, 69116584, -10.83, -0.11, -0.11, -0.28, -0.28, -0.28, 26.27, 0
69256, 69256587, -10.91, -0.11, -0.11, -0.29, -0.29, -0.29, 26.27, 0
69545, 69545584, -10.88, -0.11, -0.11, -0.27, -0.27, -0.27, 26.36, 0
69683, 69683586, -10.9, -0.11, -0.11, -0.27, -0.27, -0.27, 26.22, 0
69887, 69887584, -10.84, -0.11, -0.11, -0.26, -0.26, -0.26, 26.27, 0
70088, 70088584, -10.84, -0.11, -0.11, -0.28, -0.28, -0.28, 26.22, 0
70225, 70225586, -10.82, -0.11, -0.11, -0.28, -0.28, -0.28, 26.17, 0
70514, 70514584, -10.88, -0.11, -0.11, -0.27, -0.27, -0.27, 26.27, 0
0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
70947, 70947584, -10.87, -0.11, -0.11, -0.29, -0.29, -0.29, 26.13, 0
0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
71377, 71377584, -10.9, -0.11, -0.11, -0.21, -0.21, -0.21, 26.08, 0
0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
71807, 71807584, -10.8, -0.11, -0.11, -0.26, -0.26, -0.26, 26.13, 0
0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
72240, 72240584, -10.86, -0.11, -0.11, -0.31, -0.31, -0.31, 26.03, 0
72381, 72381579, -10.91, -0.11, -0.11, -0.26, -0.26, -0.26, 26.08, 0
72674, 72674584, -10.86, -0.11, -0.11, -0.29, -0.29, -0.29, 26.08, 0
0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
73103, 73103584, -10.89, -0.11, -0.11, -0.28, -0.28, -0.28, 25.98, 0
0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
73533, 73533584, -10.85, -0.11, -0.11, -0.3, -0.3, -0.3, 25.98, 0
73674, 73674590, -10.83, -0.11, -0.11, -0.3, -0.3, -0.3, 25.98, 0
73964, 73964584, -10.88, -0.11, -0.11, -0.29, -0.29, -0.29, 26.03, 0
74102, 74102587, -10.85, -0.11, -0.11, -0.29, -0.29, -0.29, 26.03, 0
74394, 74394584, -10.86, -0.11, -0.11, -0.3, -0.3, -0.3, 25.98, 0
0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
74824, 74824584, -10.86, -0.11, -0.11, -0.28, -0.28, -0.28, 26.03, 0
74966, 74966586, -10.86, -0.11, -0.11, -0.28, -0.28, -0.28, 25.94, 0
75256, 75256584, -10.86, -0.11, -0.11, -0.28, -0.28, -0.28, 26.17, 0
75394, 75394587, -10.87, -0.11, -0.11, -0.29, -0.29, -0.29, 26.08, 0
0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
75806, 75806576, -10.86, -0.11, -0.11, -0.31, -0.31, -0.31, 25.98, 0
75929, 75929579, -10.82, -0.11, -0.11, -0.26, -0.26, -0.26, 25.89, 0
0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
76440, 76440584, -10.91, -0.11, -0.11, -0.29, -0.29, -0.29, 25.8, 0
76578, 76578578, -10.8, -0.11, -0.11, -0.27, -0.27, -0.27, 25.8, 0
76794, 76794579, -10.9, -0.11, -0.11, -0.24, -0.24, -0.24, 25.75, 0
77007, 77007579, -10.85, -0.11, -0.11, -0.28, -0.28, -0.28, 25.75, 0
0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
77419, 77419575, -10.89, -0.11, -0.11, -0.31, -0.31, -0.31, 25.7, 0
77620, 77620581, -10.82, -0.11, -0.11, -0.29, -0.29, -0.29, 25.8, 0
0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
78053, 78053581, -10.86, -0.11, -0.11, -0.25, -0.25, -0.25, 25.65, 0
78191, 78191587, -10.9, -0.11, -0.11, -0.28, -0.28, -0.28, 25.7, 0
0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
78604, 78604575, -10.89, -0.11, -0.11, -0.28, -0.28, -0.28, 25.61, 0
78805, 78805584, -10.88, -0.11, -0.11, -0.28, -0.28, -0.28, 25.42, 0
0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
79232, 79232584, -10.88, -0.11, -0.11, -0.29, -0.29, -0.29, 25.28, 0
79371, 79371578, -10.86, -0.11, -0.11, -0.27, -0.27, -0.27, 25.23, 0
79594, 79594581, -10.85, -0.11, -0.11, -0.27, -0.27, -0.27, 25.14, 0
79926, 79926575, -10.91, -0.11, -0.11, -0.27, -0.27, -0.27, 25.14, 0
80125, 80125584, -10.85, -0.11, -0.11, -0.29, -0.29, -0.29, 25.14, 0
80263, 80263578, -10.89, -0.11, -0.11, -0.28, -0.28, -0.28, 25.28, 0
80555, 80555584, -10.86, -0.11, -0.11, -0.29, -0.29, -0.29, 25.18, 0
0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
80985, 80985584, -10.82, -0.11, -0.11, -0.28, -0.28, -0.28, 25.14, 0
81127, 81127579, -10.87, -0.11, -0.11, -0.29, -0.29, -0.29, 25.18, 0
81420, 81420581, -10.8, -0.11, -0.11, -0.27, -0.27, -0.27, 25.09, 0
0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
81852, 81852584, -10.88, -0.11, -0.11, -0.26, -0.26, -0.26, 25.14, 0
0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
82280, 82280581, -10.8, -0.11, -0.11, -0.28, -0.28, -0.28, 24.95, 0
82421, 82421579, -10.91, -0.11, -0.11, -0.27, -0.27, -0.27, 25.04, 0
82713, 82713584, -10.79, -0.11, -0.11, -0.29, -0.29, -0.29, 24.95, 0
82851, 82851578, -10.79, -0.11, -0.11, -0.27, -0.27, -0.27, 25.0, 0
83053, 83053583, -10.85, -0.11, -0.11, -0.29, -0.29, -0.29, 24.95, 0
83254, 83254585, -10.87, -0.11, -0.11, -0.28, -0.28, -0.28, 25.0, 0
83392, 83392578, -10.86, -0.11, -0.11, -0.29, -0.29, -0.29, 24.95, 0
83609, 83609586, -10.89, -0.11, -0.11, -0.29, -0.29, -0.29, 25.04, 0
83822, 83822587, -10.84, -0.11, -0.11, -0.3, -0.3, -0.3, 25.0, 0
0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
84236, 84236576, -10.78, -0.11, -0.11, -0.28, -0.28, -0.28, 24.95, 0
84435, 84435584, -10.82, -0.11, -0.11, -0.28, -0.28, -0.28, 24.85, 0
84567, 84567587, -10.85, -0.11, -0.11, -0.29, -0.29, -0.29, 25.0, 0
84859, 84859581, -14.36, -0.14, -0.14, -0.42, -0.42, -0.42, 24.9, 0
85000, 85000579, -10.56, -0.11, -0.11, -0.22, -0.22, -0.22, 24.76, 0
85290, 85290581, -9.66, -0.1, -0.1, -0.28, -0.28, -0.28, 24.76, 0
85428, 85428579, -9.48, -0.09, -0.09, -0.28, -0.28, -0.28, 24.71, 0
85630, 85630576, -10.85, -0.11, -0.11, -0.26, -0.26, -0.26, 24.76, 0
85828, 85828585, -8.67, -0.09, -0.09, -0.14, -0.14, -0.14, 24.76, 0
85969, 85969579, -6.55, -0.07, -0.07, -0.2, -0.2, -0.2, 24.76, 0
86259, 86259581, -7.21, -0.07, -0.07, -0.18, -0.18, -0.18, 24.85, 0
86399, 86399579, -5.18, -0.05, -0.05, -0.2, -0.2, -0.2, 24.76, 0
86603, 86603575, -4.4, -0.04, -0.04, -0.31, -0.31, -0.31, 24.67, 0
86800, 86800581, -2.54, -0.03, -0.03, -0.28, -0.28, -0.28, 24.85, 0
86940, 86940579, -3.48, -0.03, -0.03, -0.3, -0.3, -0.3, 24.81, 0
87228, 87228581, -3.5, -0.04, -0.04, -0.42, -0.42, -0.42, 24.71, 0
87366, 87366579, -3.6, -0.04, -0.04, -0.32, -0.32, -0.32, 24.67, 0
87570, 87570575, -3.9, -0.04, -0.04, -0.39, -0.39, -0.39, 24.76, 0
87768, 87768581, -3.8, -0.04, -0.04, -0.29, -0.29, -0.29, 24.67, 0
87910, 87910578, -2.14, -0.02, -0.02, -0.34, -0.34, -0.34, 24.57, 0
88122, 88122580, -1.2, -0.01, -0.01, -0.28, -0.28, -0.28, 24.57, 0
88344, 88344579, -1.83, -0.02, -0.02, -0.31, -0.31, -0.31, 24.53, 0
88564, 88564578, -3.19, -0.03, -0.03, -0.32, -0.32, -0.32, 24.53, 0
88777, 88777579, -2.4, -0.02, -0.02, -0.3, -0.3, -0.3, 24.48, 0
0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
89189, 89189584, -3.48, -0.03, -0.03, -0.3, -0.3, -0.3, 24.48, 0
89387, 89387581, -3.57, -0.04, -0.04, -0.28, -0.28, -0.28, 24.48, 0
0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
89817, 89817581, -1.73, -0.02, -0.02, -0.3, -0.3, -0.3, 24.48, 0
0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
90250, 90250581, -1.38, -0.01, -0.01, -0.27, -0.27, -0.27, 24.43, 0
90388, 90388579, -1.47, -0.01, -0.01, -0.29, -0.29, -0.29, 24.48, 0
90680, 90680581, -0.94, -0.01, -0.01, -0.29, -0.29, -0.29, 24.57, 0
