Time (ms), Altitude (m), Pressure (Pa), Temperature (degC), Packet Error
54989, -17.64, 101537.0, 28.06, 0
57145, -17.64, 101537.0, 27.93, 0
57575, -17.64, 101537.0, 27.95, 0
58003, -17.55, 101536.0, 27.96, 0
58434, -17.64, 101537.0, 27.98, 0
58759, -17.47, 101535.0, 27.98, 0
58970, -17.64, 101537.0, 27.98, 0
59403, -17.72, 101538.0, 27.95, 0
59840, -17.64, 101537.0, 27.93, 0
60267, -17.64, 101537.0, 27.95, 0
60703, -17.47, 101535.0, 27.96, 0
61134, -17.64, 101537.0, 27.98, 0
61456, -17.8, 101539.0, 27.98, 0
61672, -17.64, 101537.0, 28.0, 0
62108, -17.64, 101537.0, 28.01, 0
62539, -17.55, 101536.0, 28.02, 0
62969, -17.39, 101534.0, 28.03, 0
63397, -17.55, 101536.0, 28.04, 0
64054, -17.39, 101534.0, 28.06, 0
64485, -17.47, 101535.0, 28.07, 0
64916, -17.39, 101534.0, 28.09, 0
65345, -17.39, 101534.0, 28.1, 0
65783, -17.47, 101535.0, 28.12, 0
66214, -17.3, 101533.0, 28.13, 0
66322, -17.3, 101533.0, 28.14, 0
66660, -17.22, 101532.0, 28.11, 0
66882, -17.3, 101533.0, 28.13, 0
67310, -17.22, 101532.0, 28.16, 0
67745, -17.55193519592285, 101536.0, 8.280714875490685e-38, 1
68178, -17.22, 101532.0, 28.19, 0
68606, -17.22, 101532.0, 28.2, 0
68929, -17.39, 101534.0, 28.21, 0
69148, -17.22, 101532.0, 28.22, 0
69575, -17.3, 101533.0, 28.22, 0
69901, -17.47, 101535.0, 28.22, 0
70118, -17.22, 101532.0, 28.21, 0
70544, -17.22, 101532.0, 28.2, 0
70977, -16.97, 101529.0, 28.19, 0
71407, -17.39, 101534.0, 28.19, 0
71839, -17.3, 101533.0, 28.18, 0
72273, -17.47, 101535.0, 28.19, 0
72704, -17.55, 101536.0, 28.22, 0
73133, -17.47, 101535.0, 28.24, 0
73566, -17.47, 101535.0, 28.26, 0
73994, -17.47, 101535.0, 28.26, 0
74424, -17.39, 101534.0, 28.25, 0
74858, -17.39, 101534.0, 28.25, 0
75286, -17.47, 101535.0, 28.25, 0
75607, -16.97, 101529.0, 28.24, 0
75821, -17.14, 101531.0, 28.19, 0
76038, -17.64, 101537.0, 28.11, 0
76470, -17.55, 101536.0, 27.91, 0
76899, -17.22, 101532.0, 27.76, 0
77219, -17.14, 101531.0, 27.71, 0
77434, -17.3, 101533.0, 27.69, 0
77653, -17.3, 101533.0, 27.67, 0
78083, -17.55, 101536.0, 27.63, 0
78404, -17.64, 101537.0, 27.58, 0
78622, -17.8, 101539.0, 27.51, 0
78835, -17.64, 101537.0, 27.41, 0
79263, -17.39, 101534.0, 27.21, 0
79594, -17.64, 101537.0, 27.06, 0
79940, -17.14, 101531.0, 26.91, 0
80155, -17.05, 101530.0, 26.9, 0
80587, -16.64, 101525.0, 26.93, 0
81019, -16.64, 101525.0, 26.99, 0
81450, -16.97, 101529.0, 26.97, 0
81882, -17.39, 101534.0, 26.86, 0
82313, -17.39, 101534.0, 26.73, 0
82743, -17.39, 101534.0, 26.63, 0
83067, -17.55, 101536.0, 26.57, 0
83284, -17.3, 101533.0, 26.54, 0
83714, -17.3, 101533.0, 26.5, 0
84035, -17.3, 101533.0, 26.5, 0
84251, -17.47, 101535.0, 26.49, 0
84465, -17.3, 101533.0, 26.48, 0
84892, -17.05, 101530.0, 26.48, 0
85320, -16.97, 101529.0, 26.47, 0
85645, -17.3, 101533.0, 26.43, 0
85861, -17.39, 101534.0, 26.41, 0
86291, -17.22, 101532.0, 26.38, 0
86617, -17.3, 101533.0, 26.38, 0
86832, -17.22, 101532.0, 26.39, 0
87258, -17.14, 101531.0, 26.39, 0
87585, -17.39, 101534.0, 26.38, 0
87801, -17.05, 101530.0, 26.37, 0
88236, -17.14, 101531.0, 26.35, 0
88669, -17.22, 101532.0, 26.35, 0
88989, -17.14, 101531.0, 26.34, 0
89204, -16.97, 101529.0, 26.32, 0
89417, -17.14, 101531.0, 26.32, 0
89849, -17.14, 101531.0, 26.34, 0
90280, -17.39, 101534.0, 26.38, 0
90710, -17.3, 101533.0, 26.42, 0
91143, -17.3, 101533.0, 26.41, 0
91573, -17.14, 101531.0, 26.36, 0
92006, -17.14, 101531.0, 26.31, 0
92433, -17.14, 101531.0, 26.28, 0
92869, -16.97, 101529.0, 26.24, 0
93298, -17.22, 101532.0, 26.16, 0
93731, -16.97, 101529.0, 26.12, 0
94161, -16.97, 101529.0, 26.1, 0
94590, -17.05, 101530.0, 26.07, 0
95023, -16.89, 101528.0, 26.05, 0
95346, -16.89, 101528.0, 26.04, 0
95562, -16.97, 101529.0, 26.03, 0
95996, -16.55, 101524.0, 26.01, 0
96424, -16.55, 101524.0, 25.96, 0
96858, -16.72, 101526.0, 25.91, 0
97288, -16.72, 101526.0, 25.87, 0
97718, -16.64, 101525.0, 25.82, 0
98146, -16.47, 101523.0, 25.75, 0
98468, -16.55, 101524.0, 25.73, 0
98688, -16.39, 101522.0, 25.71, 0
99117, -16.39, 101522.0, 25.68, 0
99438, -16.47, 101523.0, 25.67, 0
99656, -16.39, 101522.0, 25.66, 0
99869, -16.47, 101523.0, 25.66, 0
100299, -16.55, 101524.0, 25.67, 0
100728, -16.64, 101525.0, 25.68, 0
101153, -16.72, 101526.0, 25.69, 0
101587, -16.89, 101528.0, 25.67, 0
102016, -16.8, 101527.0, 25.65, 0
102447, -16.8, 101527.0, 25.64, 0
102880, -17.05, 101530.0, 25.62, 0
103307, -16.72, 101526.0, 25.61, 0
103737, -16.72, 101526.0, 25.6, 0
104173, -16.64, 101525.0, 25.63, 0
104600, -16.72, 101526.0, 25.68, 0
104921, -17.05, 101530.0, 25.71, 0
105139, -17.05, 101530.0, 25.7, 0
105353, -16.8, 101527.0, 25.7, 0
105578, -17.14, 101531.0, 25.7, 0
